Age,D,R,DS,Zip
Age1824,509,65,192,90025
Age2534,2760,437,1253,90025
Age3544,1843,420,1056,90025
Age4554,1497,381,685,90025
Age5564,1399,390,454,90025
Age65NA,2116,752,522,90025
Age1824,477,218,239,90266
Age2534,814,481,575,90266
Age3544,1075,799,780,90266
Age4554,1563,1828,1079,90266
Age5564,1663,1734,675,90266
Age65NA,2050,2440,621,90266
Age1824,451,97,157,90272
Age2534,553,197,300,90272
Age3544,647,302,431,90272
Age4554,1241,731,564,90272
Age5564,1569,848,510,90272
Age65NA,2434,1739,564,90272
Age1824,257,257,203,90274
Age2534,314,349,306,90274
Age3544,345,461,329,90274
Age4554,721,1404,579,90274
Age5564,967,1743,590,90274
Age65NA,1590,3415,634,90274
Age1824,480,108,189,91505
Age2534,1302,326,639,91505
Age3544,1621,404,780,91505
Age4554,1664,809,768,91505
Age5564,1460,802,462,91505
Age65NA,1545,1157,398,91505
Age1824,340,19,68,91602
Age2534,2034,193,528,91602
Age3544,2097,230,570,91602
Age4554,1900,354,427,91602
Age5564,1624,324,279,91602
Age65NA,1744,536,244,91602
Age1824,341,50,152,91792
Age2534,686,181,358,91792
Age3544,717,224,324,91792
Age4554,786,342,361,91792
Age5564,868,422,373,91792
Age65NA,1285,719,433,91792
Age1824,461,288,321,92009
Age2534,642,587,538,92009
Age3544,1193,1193,1032,92009
Age4554,1528,2412,1275,92009
Age5564,1493,2298,913,92009
Age65NA,1886,2705,1030,92009
Age1824,114,46,77,92075
Age2534,261,129,209,92075
Age3544,329,219,292,92075
Age4554,403,435,321,92075
Age5564,501,533,294,92075
Age65NA,782,1060,398,92075
Age1824,415,127,256,92243
Age2534,862,334,468,92243
Age3544,712,399,451,92243
Age4554,926,588,430,92243
Age5564,1334,788,441,92243
Age65NA,1858,1074,367,92243
Age1824,353,191,372,92603
Age2534,467,367,479,92603
Age3544,460,487,531,92603
Age4554,617,757,754,92603
Age5564,577,882,535,92603
Age65NA,669,1174,463,92603
Age1824,881,400,879,92620
Age2534,1475,860,1308,92620
Age3544,1518,1146,1766,92620
Age4554,1353,1600,1624,92620
Age5564,1204,1650,1006,92620
Age65NA,1224,1933,831,92620
Age1824,191,85,123,93923
Age2534,244,125,175,93923
Age3544,276,138,200,93923
Age4554,440,374,290,93923
Age5564,742,519,359,93923
Age65NA,1889,1803,777,93923
Age1824,924,101,518,94109
Age2534,6318,958,3808,94109
Age3544,3212,425,2072,94109
Age4554,2446,450,1335,94109
Age5564,2335,401,1056,94109
Age65NA,3958,1078,1724,94109
Age1824,547,52,317,94301
Age2534,934,135,525,94301
Age3544,679,113,516,94301
Age4554,1006,276,684,94301
Age5564,1068,397,324,94301
Age65NA,1869,642,585,94301
Age1824,983,139,699,95129
Age2534,991,226,825,95129
Age3544,932,284,1258,95129
Age4554,1395,575,2250,95129
Age5564,1313,678,1300,95129
Age65NA,1747,1087,784,95129
Age1824,772,310,626,95377
Age2534,818,411,627,95377
Age3544,1136,670,723,95377
Age4554,1558,1109,863,95377
Age5564,1088,713,471,95377
Age65NA,909,519,296,95377
