Gender,D,R,DS,Zipcode
M,5594,1068,2153,90025
F,4112,1323,1810,90025
M,4405,3485,2049,90266
F,3085,3913,1847,90266
M,4025,1887,1294,90272
F,2770,1978,1179,90272
M,2412,3864,1275,90274
F,1693,3657,1289,90274
M,4452,1812,1565,91505
F,3397,1747,1585,91505
M,2930,766,1085,91602
F,2421,856,960,91602
M,2613,964,896,91792
F,1922,920,1029,91792
M,4325,4726,2488,92009
F,2788,4696,2337,92009
M,1394,1235,820,92075
F,966,1174,754,92075
M,3279,1569,1021,92243
F,2468,1550,1213,92243
M,1039,1660,993,92603
F,1328,1613,987,92603
M,2369,3060,2074,92620
F,3054,3062,2114,92620
M,1206,1182,685,93923
F,1990,1422,684,93923
M,6571,1289,3418,94109
F,7402,1134,2831,94109
M,2169,714,1125,94301
F,2879,630,965,94301
M,2370,1283,2509,95129
F,3162,1196,2185,95129
M,1856,1363,900,95377
F,2452,1334,889,95377
