Race,D,R,Zip
Armenian,30,24,92009
African American,51,40,92009
Persian,73,12,92009
Chinese,79,82,92009
East Indian,85,27,92009
Filipino,48,65,92009
Greek,15,14,92009
No Ethnic ID,137,114,92009
Italian,197,324,92009
Jewish,504,266,92009
Korean,27,47,92009
SoutheastAsian,4,3,92009
Asian - Anglo,14,31,92009
Japanese,74,59,92009
Arabic,13,2,92009
Portuguese,32,33,92009
Russian,10,11,92009
Latino,553,478,92009
No Ethnic ID,5,6,92009
Chinese - Korean - Viet,9,1,92009
Vietnamese,23,43,92009
Chinese - Korean,15,9,92009
Chinese - Vietnamese,9,7,92009
No Ethnic ID,5196,7784,92009
Pacific Islander,0,1,92009
Armenian,10,17,92075
African American,15,9,92075
Persian,7,6,92075
Chinese,15,13,92075
East Indian,15,1,92075
Filipino,10,7,92075
Greek,4,8,92075
No Ethnic ID,47,34,92075
Italian,53,64,92075
Jewish,183,53,92075
Korean,6,4,92075
SoutheastAsian,2,3,92075
Asian - Anglo,9,3,92075
Japanese,14,12,92075
Portuguese,5,8,92075
Latino,176,89,92075
Chinese - Korean - Viet,1,1,92075
Vietnamese,10,10,92075
Chinese - Korean,3,1,92075
No Ethnic ID,1805,2077,92075
Russian,0,2,92075
African American,87,37,92243
Persian,1,1,92243
Chinese,17,19,92243
East Indian,25,1,92243
Filipino,30,23,92243
No Ethnic ID,10,15,92243
Italian,13,11,92243
Jewish,21,25,92243
Korean,9,14,92243
SoutheastAsian,1,4,92243
Asian - Anglo,4,6,92243
Japanese,5,3,92243
Portuguese,5,9,92243
Latino,4742,1178,92243
Vietnamese,3,1,92243
Chinese - Korean,1,0,92243
Chinese - Vietnamese,1,5,92243
No Ethnic ID,1132,1956,92243
Armenian ,0,2,92243
Armenian,58,49,91602
African American,98,15,91602
Persian,10,0,91602
Chinese,40,14,91602
East Indian,18,6,91602
Filipino,54,23,91602
Greek,17,4,91602
No Ethnic ID,102,26,91602
Italian,181,82,91602
Jewish,379,58,91602
Korean,34,16,91602
SoutheastAsian,8,1,91602
Asian - Anglo,21,4,91602
Japanese,32,7,91602
Arabic,7,5,91602
Portuguese,26,8,91602
Russian,7,5,91602
Latino,620,126,91602
No Ethnic ID,2,2,91602
Chinese - Korean - Viet,4,0,91602
Vietnamese,8,1,91602
Chinese - Korean,12,1,91602
Chinese - Vietnamese,2,1,91602
No Ethnic ID,3795,1202,91602
Armenian,7,5,91792
African American,135,20,91792
Persian,7,2,91792
