Candidate,Party,Type,Date,Title,Speech
Jeb Bush,R,p,"June 14, 2015",b'Press Release - The Best Conservative Governor in America',"b'""Florida is a place where conservative principles have helped not just Republicans  but everybody.""  Jeb at 2015 Conservative Political Action Conference1.3 million new jobs, a $9.1 billion rainy-day fund, and more than 80,000 small businesses opened. That\'s what conservative leadership did.'"
Jeb Bush,R,p,"June 14, 2015",b'Press Release - Jeb: Today and Tomorrow',"b'As Jeb has traveled the country, listening to voters he often found them wanting to know more about his life experiences, what prepared him for a possible presidential campaign.He talked about the time he met his future wife Columba in an exchange program in Len Guanajuato, Mexico  ""love at first sight.""Or his time in office as Governor of Florida, during which his policies helped create a world-class business climate. In his eight years in office, 1.3 million net new jobs were created.Now as he makes the jump into the race, he knows that with his experience, America can be unleashed again making this the greatest time to be alive.'"
Jeb Bush,R,p,"June 15, 2015",b'Press Release - All In For Jeb',"b'Tony Alonso (AKA ""Asik"") is not a political partisan. Born and raised in Miami, he told us he is just looking for the best person for the job, someone he can trust.""I\'ve always believed the good guy will win in the end,"" said Tony. ""And that\'s why I\'m All In For Jeb.""""Jeb is a genuine, stand-up guy ... I feel like he\'s almost family.""Tony took All In For Jeb to a whole new level, combining his passion for art with his belief in Jeb to create this:'"
Jeb Bush,R,p,"June 15, 2015",b'Press Release - Greatest Century',"b""As Governor of Florida, Jeb Bush made a difference and changed lives.Under his leadership, Florida led the nation in job growth, defended life, eliminated waste, and reformed schools to give every child an opportunity.He led. He reformed. He got results.It's time for a President with that same mentality  who sees solutions when others see problems.This country is on the verge of its greatest century. Jeb is ready to lead."""
Jeb Bush,R,p,"June 15, 2015",b'Press Release - I Know We Can Fix This',b''
Jeb Bush,R,p,"June 15, 2015",b'Press Release - I Will Run To Win',b''
Jeb Bush,R,p,"June 16, 2015",b'Press Release - Best Part of Announcement Day',b''
Jeb Bush,R,p,"June 16, 2015",b'Press Release - #JebNoFilter: New Hampshire Edition',b''
Jeb Bush,R,p,"June 16, 2015",b'Press Release - Preparing',b''
Jeb Bush,R,p,"June 17, 2015",b'Press Release - No Place Like Miami',"b""Jeb's announcement would not have been the same without the support of all the people who came out to cheer him on at Miami Dade College. We caught up with some of the great people of Florida to hear why they are #AllInForJeb.Just like Miami, the crowd was diverse and filled with many people and personalities. But there is one very important thing that united them all: they are #AllInForJeb."""
