Candidate,Party,Type,Date,Title,Speech
Ted Cruz,R,s,"March 30, 2015",b'Statement by Senator Ted Cruz on Governor Mike Pence',"b'Issues Statement on Religious Freedom Restoration ActHOUSTON, Texas  U.S. Sen. Ted Cruz, R-Texas, issued the following statement today in support of Governor Mike Pence\'s effort to defend religious liberty and protect against the government forcing individuals to violate their deeply held beliefs:""I want to commend Governor Mike Pence for his support of religious freedom, especially in the face of fierce opposition. There was a time, not too long ago, when defending religious liberty enjoyed strong bipartisan support. Alas, today we are facing a concerted assault on the First Amendment, on the right of every American to seek out and worship God according to the dictates of his or her conscience. Governor Pence is holding the line to protect religious liberty in the Hoosier State. Indiana is giving voice to millions of courageous conservatives across this country who are deeply concerned about the ongoing attacks upon our personal liberties. I\'m proud to stand with Mike, and I urge Americans to do the same.""'"
Ted Cruz,R,s,"April 3, 2015",b'Statement by Senator Ted Cruz on the Announcement of a Nuclear Deal with Iran',"b'Releases statement reacting to President Obama\'s announcement of nuclear deal with IranHOUSTON, TX  U.S. Sen. Ted Cruz, R-Texas released the following statement in response to President Obama\'s agreement with Iran:""President Obama\'s agreement with Iran, the details of which he has largely kept secret, is as he said \'historic\' because of the catastrophic risk it poses to the security of the United States and our allies.""The so-called deal, unilaterally arranged without any consultation with Congress, lifts sanctions and effectively puts Iran on the path to the bomb after a 10-year horizon. The likelihood of Iran using those weapons against Israel, which its leaders call \'little Satan\' and have explicitly said they would like to \'erase off the map\' and America, which it calls \'the Great Satan,\' is unacceptably high.""Under no circumstance should a U.S. President lift sanctions and grant nuclear capability to a nation that proudly chants \'Death to America.\'""It is unfortunate that throughout these negotiations the President continually reserved his harshest language not for the Iranian regime, but for the United States Congress and the Prime Minister of Israel.""Finally, let us remember to lift those Americans who remain unjustly detained by the Iranian regime in our prayers. The President had an opportunity to speak out for their freedom yesterday and did not. We must continue to give them a voice. Saeed Abedini, Amir Hekmati, and Jason Rezaian, must be freed and Robert Levinson must be found.""President Obama, Secretary of State John Kerry and other negotiators have publicly said the choice is between their bad deal and war. That was a false choice. America should not accept a bad deal, under any terms. The Obama Administration should have pursued a good deal that forces Iran to renounce its nuclear program, stop threatening Israel, and release our American brothers.""This is a very bad deal and it is a grim day for America. President Obama is right to be concerned that it will likely face considerable opposition from the American people and their representatives in Congress. Because absent Congress\' consent, it will not be binding when President Obama leaves office.""'"
Ted Cruz,R,s,"April 3, 2015",b'Statement by Senator Ted Cruz on Passover',"b'HOUSTON, Texas  Today U.S. Sen. Ted Cruz released the following statement in observance of Passover:""As our Jewish friends sit down tonight at the Seder table with family and friends to celebrate the Passover, let us give thanks for the gift of freedom  the freedom to live and to practice our faith without fear. Let us also pray for protection from the enemies of freedom.""The Passover Haggadah asks each generation to look upon the exodus from Egypt as if we had personally experienced it ourselves reflecting on Psalm 114, \'When Israel came forth out of Egypt, the house of Jacob from a people of strange language; Judah became His sanctuary, Israel His dominion.\'""In our generation, there is no shortage of modern-day Pharaohs who seek to destroy freedom-loving people everywhere. But by standing together, we will prevail.""Chag Sameach.""'"
Ted Cruz,R,s,"April 5, 2015",b'Statement by Senator Ted Cruz on Easter',"b'CHARLESTON, SC  U.S. Sen. Ted Cruz, R-Texas, released the following statement in observance of Easter:""He is risen!""Heidi and I are in Charleston, South Carolina where we attended a beautiful sunrise service.""As Christians celebrate the resurrection of Jesus Christ, we are reminded of the true hope for the world.""Today I am reminded of the touching anecdote President Reagan once used to explain the prevailing promise of God\'s word.""As Reagan said in his famous \'Tear down this wall\' speech at the Brandenberg Gate:""\'The totalitarian world produces backwardness because it does such violence to the spirit, thwarting the human impulse to create, to enjoy, to worship. The totalitarian world finds even symbols of love and of worship an affront. Years ago, before the East Germans began rebuilding their churches, they erected a secular structure: the television tower at Alexander Platz. Virtually ever since, the authorities have been working to correct what they view as the tower\'s one major flaw, treating the glass sphere at the top with paints and chemicals of every kind. Yet even today when the sun strikes that spherethat sphere that towers over all Berlinthe light makes the sign of the cross. There in Berlin, like the city itself, symbols of love, symbols of worship, cannot be suppressed.\'""Today is a day to cherish our faith, our freedoms, and all precious gifts that we have been blessed to receive.""As it is written in Luke 24:7 \'The Son of Man must be delivered over to the hands of sinners, be crucified and on the third day be raised again.\'""Heidi and I wish you and your family a very Happy Easter.""'"
Ted Cruz,R,s,"April 7, 2015",b'Statement by Senator Ted Cruz Welcoming Senator Rand Paul Into the 2016 GOP Primary',"b'HOUSTON, Texas  Today U.S. Sen. Ted Cruz, R-Texas, released the following statement regarding the announcement that U.S. Sen. Rand Paul, R-Ky., will also seek the Republican nomination for President of the United States:""I am glad to welcome my friend Rand Paul into the 2016 GOP primary. Rand is a good friend, and we have worked side by side on many issues. I respect his talent, his passion, and the work he has done for Kentuckians and Americans in the U.S. Senate. His entry into the race will no doubt raise the bar of competition, help make us all stronger, and ultimately ensure that the GOP nominee is equipped to beat Hillary Clinton and to take back the White House for Republicans in 2016.""'"
Ted Cruz,R,s,"April 11, 2015","b""Statement by Senator Ted Cruz on the President's Meeting with Raul Castro""","b'HOUSTON, Texas  U.S. Sen. Ted Cruz, R-Texas, today released the following statement regarding President Obama\'s meeting with Raul Castro, the communist dictator of Cuba:""Keeping up with a disturbing trend of this administration, President Obama is in the process of striking another very bad deal, now with the communist dictatorship of Cuba. President Obama\'s approach gives the Castros exactly what they want  economic relief and legitimacy on the international stage  and effectively abandons the pro-U.S. opposition. This President has shown he is willing to do what nine previous presidents of both parties would not: cave to a communist dictator in our own hemisphere.""The President said today that his unprecedented meeting with Raul Castro was a step towards the future. Unfortunately, he is leaving the Cuban people imprisoned in the past.""Of course we should look for new ways to bring relief to the people of Cuba, but if the United States is to provide an economic lifeline, we must first extract significant concessions. For instance, American fugitives being harbored in Cuba should be extradited. We should demand significant legal reform so that the Cuban government can no longer detain its citizens indefinitely with no process. We should demand that the political opposition to the Castros be included in any and all negotiations with Cuba, so their concerns will be addressed. And we should calibrate any relaxation of sanctions directly to the cessation of their human rights violations.""If Cuba will not show it can operate in good faith by making such changes before sanctions are lifted, we have no assurance that the Castros will take real action to improve the lives of their impoverished and oppressed citizens. Meanwhile, American dollars will flow exclusively into the Castros\' pockets while the Cuban people continue to suffer.""'"
Ted Cruz,R,s,"April 12, 2015","b""Statement by Senator Ted Cruz on Hillary Clinton's Announcement She is Running for President""","b'Is the world safer because Hillary Clinton was Secretary of State? No.HOUSTON, Texas  Today U.S. Sen. Ted Cruz, R-Texas, issued the following statement in reaction to the announcement that Hillary Clinton is running for President:""Hillary Clinton just announced what we\'ve known for a long time  she\'s running for president, again. But the good news is that we\'re ready for Hillary  we know exactly what to expect.""Hillary Clinton represents the failed policies of the past and there\'s going to be a very clear choice to make in 2016. Does America want a third Obama term or are we ready for strong conservative leadership to make America great again?""Her announcement raises a critical question: Is the world a safer place because Hillary Clinton was Secretary of State?""The answer is obvious. No. The Obama-Clinton national security policies have made the world more dangerous for America and for our allies.""She designed and implemented \'leading from behind.\' On her watch we have witnessed the rise of Russia, Iran, and ISIS. Radical Islamic terrorists are on the march.Here at home, the Obama-Clinton economic policies have made life harder and harder for millions of hard-working Americans.""We know that a Hillary Clinton Administration would be no different than an Obama Administration.""Obamacare, amnesty, and the ongoing assault on our constitutional rights would continue. Our rights to religious liberty, to free speech, and to keep and bear arms would continue to be threatened by the federal government. There would be more scandals, more corruption, more lawlessness, and more abuse of power.""The American people have had enough. I believe now, more than ever, is a time for truth.""It is time to champion the rights of the American people, and to defend America\'s sovereignty and the Constitution.""Courageous conservatives can and will reignite the promise of America. Together we\'re going to win. We\'re going to restore freedom and the Constitution and make America great again.""In addition, Sen. Cruz also released the followingvideo on Facebook and Twitter:'"
Ted Cruz,R,s,"April 13, 2015",b'Statement by Senator Ted Cruz Regarding Senator Marco Rubio Running for President',"b'HOUSTON, Texas  Today U.S. Sen. Ted Cruz, R-Texas, released the following statement regarding the announcement that U.S. Sen. Marco Rubio, R-Fla., will also seek the Republican nomination for President of the United States:""Marco is a friend and colleague whom I greatly respect. We\'re both the sons of immigrants who escaped Cuba to build a better life in the United States, and we share a deep appreciation and understanding of what it means to work hard and achieve the American Dream. Marco is a talented communicator and part of a new generation of Republicans stepping forward to promote conservative solutions to our pressing challenges. He is a strong addition to the Republican field, and he will undoubtedly elevate the debate for all of us.""'"
Ted Cruz,R,s,"April 14, 2015","b""Statement by Senator Ted Cruz on the Obama Administration's Decision to Remove Cuba from Terror List""","b'Releases statement on Obama Administration\'s decision to remove Cuba from terror listHOUSTON, Texas  U.S. Sen. Ted Cruz, R-Texas, released the following statement regarding President Obama\'s decision to remove Cuba from the list of state sponsors of terrorism:""When it comes to making any deals with world dictators, the President of the United States should use two words: Prove it. Cuba must prove it is willing to change its behavior before the United States takes a single action to remove it from the list of state sponsors of terror. Fidel and Raul Castro have a decades-long track record of violent hostility towards our nation. It is dangerous and reckless to use a terrorist designation as a negotiating tool, as their regime continues to support and harbor terrorists who have murdered Americans. We need better than a promise of future change; Cuba needs to prove it. And, until Cuba does, any discussion about changing its terrorist designation should be off the table.""'"
Ted Cruz,R,s,"April 15, 2015",b'Statement by Senator Ted Cruz on Tax Day',"b'Releases statement on Tax DayHOUSTON, Texas  U.S. Sen. Ted Cruz, R-Texas, released the following statement marking Tax Day:""Tax day is upon us again. But this year it\'s different. This year, on top of the frustrating reminder that Americans are giving too much of their income to fund too many wasteful government programs, families are now being forced to pay the Obamacare tax for the first time.""Instead of government-run healthcare that increases taxes, limits options, and puts the government between patients and their doctors, imagine a free-market system that enables healthcare to be personal, portable and affordable. Instead of a tax code that crushes innovation and inflicts burdens on families struggling to make ends met, imagine a simple, flat tax that lets Americans fill out their taxes on a postcard. Imagine a tax code that is simple enough to abolish the IRS.""More of Americans\' hard-earned wages should be able to stay in their wallets so they can be free to invest more in their families and businesses, not in growing big government.""Tax reform is crucial to reversing our current economic stagnation, sparking economic growth, and expanding opportunity. I\'m running for President because I believe that together, we can make D.C. listen, we can repeal Obamacare, we can implement fundamental tax reform, and we can restore our nation as a place that champions prosperity and opportunity for all.""'"
