Candidate,Party,Type,Date,Title,Speech
Lindsey Graham,R,s,"June 18, 2015",Statement by Senator Lindsey Graham on the Shooting in Charleston,"Our prayers are with the families of the victims and the people of Charleston. We are all heartbroken by this tragedy.To the families of the victims, please know that you are being prayed for and loved by so many in the community and across the nation. I pray that God will provide you healing in the coming days.There are bad people in this world who are motivated by hate. Every decent person has been victimized by the hateful, callous disregard for human life shown by the individual who perpetrated these horrible acts.Our sense of security and well-being has been robbed and shaken."
Lindsey Graham,R,s,"June 20, 2015",Statement by Senator Lindsey Graham on Charleston,"Our nation needs to come together as a whole and pray for the victims of the tragic shooting in Charleston. This weekend, I have been in South Carolina praying with my friends and neighbors. I ask you to do the same.There can be no doubt that the shooting on Wednesday nightwas racially motivated and signals to all of us that the scars of our history are still with us today. Throughout our country, we still have much to do in the name of equality. I want to talk about those issues on the campaign trail. I want to find ways to bring our country together, to work with democrats and republicans, and everyone of any racial, ethnic, religious or political background to solve the massive challenges we face. This is something I don't just talk about, it is something I have done and will continue to do.This murderer said he wanted to start a race war; he has failed miserably. In Charleston this weekend, I saw a community coming together. I saw people seeking solace in what they share together, not in what makes them different.I'm from South Carolina. My state, like our nation, has a difficult history of race relations. We have tried to address it through compromise and working together. There is no doubt we have made great progress, but Charleston reminds us there is still much to do. The shooting was a tragic event and the fact that one person could act with such hatred and disregard for human life sickens me. We must learn from this disaster and we must all strive to do better in the memory of the nine victims. Let us ensure South Carolina, and our nation, is always represented by those nine, not by that one.At an appropriate time, we will move forward to have a discussion on a variety of fronts about what will make us stronger as a nation and what solutions need to be found to achieve that goal. But now, please join me in continuing to pray for the victims, for the citizens of Charleston, of my home state, and of our nation. Let's find the strength and wisdom, together, to make sure this never happens again."
Lindsey Graham,R,s,"June 25, 2015",Statement by Senator Lindsey Graham on Today's Supreme Court Decision on Obamacare (King v. Burwell),"This case was brought before the Supreme Court because President Obama and his Democratic allies in Congress rammed through their hastily and deeply flawed legislation to create Obamacare, apparently without even proofreading their own bill. The result has been a disaster from day one. Today's decision only reinforces why we need a president who will bring about real reform that repeals Obamacare and replaces it with a plan that expands consumer choice, increases coverage, delivers better value for the dollar, and gives states more control, without stifling job creation. As president, this is the kind of reform I would put in place."
Lindsey Graham,R,s,"June 26, 2015","Statement by Senator Lindsey Graham on Terrorist Attacks in France, Tunisia, Kuwait, and Somalia","The world is exploding in terror and violence and today's attacks in France, Tunisia, Kuwait, and Somalia are the latest tragic examples. The innocent lives lost today while working, vacationing, and worshipping show that these Islamic extremists are willing to kill anyone, anywhere, anytime.There exists a power vacuum in the Middle East created by America failing to provide leadership in the regions of the world that needs it most. As Commander-in-Chief, I will restore American leadership around the world and implement a real strategy to protect our nation and put radical Islam in a box. This will require regional partnerships, a sustained effort and rebuilding our own military and intelligence capabilities which are being degraded by severe budget cuts. As president, these will be my priorities."
Lindsey Graham,R,s,"June 26, 2015",Statement by Senator Lindsey Graham on Today's Supreme Court Ruling on Same-sex Marriage,"I am a proud defender of traditional marriage and believe the people of each state should have the right to determine their marriage laws. However, the Supreme Court has ruled that state bans on gay marriage are unconstitutional, and I will respect the Court's decision.Furthermore, given the quickly changing tide of public opinion on this issue, I do not believe that an attempt to amend the U.S. Constitution could possibly gain the support of three-fourths of the states or a supermajority in the U.S. Congress.Rather than pursing a divisive effort that would be doomed to fail, I am committing myself to ensuring the protection of religious liberties of all Americans. No person of faith should ever be forced by the federal government to take action that goes against his or her conscience or the tenets of their religion.As president, I would staunchly defend religious liberty in this nation and would devote the necessary federal resources to the protection of all Americans from any effort to hinder the free and full exercise of their rights. While we have differences, it is time for us to move forward together respectfully and as one people."
Lindsey Graham,R,s,"July 1, 2015",Statement by Senator Lindsey Graham on the President's Decision to Open the Embassy in Cuba,"As president, I would not honor this decision with Cuba and I would close the embassy until the Castro brothers actually change their behavior. By suggesting the dictatorship in Cuba is an acceptable or normal government, we are sending the worst possible message at the most critical time.Today's announcement makes it harder for us to get a good deal with the Iranians and harder for the next president to reset world order. I fear Assad, Putin, the Chinese, and terrorists who wish to do us harm take this as yet another sign of continued American weakness.""President Obama is truly writing new chapters in American foreign policy. Unfortunately, these latest chapters are ones of America and the values we stand for  human rights, freedom, and democracy  in retreat and decline."
Lindsey Graham,R,s,"July 6, 2015",Statement by Senator Lindsey Graham on Iran Pushing to End Arms Embargo in Iranian Nuclear Negotiations,"Iran's demands that restrictions on arms sales be lifted as part of the ongoing nuclear talks show just how far afield these negotiations have gone under President Obama's failed leadership. What started as an effort to dismantle Iran's nuclear program has turned into a disastrous plan that will immediately enrich the Ayatollahs in Tehran, expand their ability to support violence and chaos throughout the region, and leave them as a nuclear threshold state. Every new detail to leak out of the negotiating room makes the situation look more grim. President Obama should immediately suspend these talks. The United States should have a very clear message for Iran and the rest of the world: we will never lift sanctions or the arms embargo until Tehran abandons its nuclear weapons ambitions and support for terrorists."
Lindsey Graham,R,s,"July 7, 2015",Statement by Senator Lindsey Graham on Today's Deadline Extension of the Iranian Nuclear Negotiations,"Today's decision to effectively pause the clock on nuclear negotiations gives us an opportunity to take stock at how far from Obama's initial negotiating positions the talks have gone. No longer are we talking about dismantiling the nuclear program or ending enrichment activities. Instead the focus has shifted to lifting non-nuclear sanctions such as the UN arms embargo and on how limited our access to suspected nuclear sites will be. All of this comes at a time when Iran is expanding its support for terrorism throughout the entire region, effectively controlling the capitals in Syria, Iraq, Yemen, and Lebanon. How can there be any doubt that these negotiations have gone off the rails under Obama's weak leadership?I have been very clear in my warnings all along: the results of a bad deal will be greater violence and chaos throughout the region, more power for the Ayatollahs in Tehran, and a very dangerous nuclear arms race in the Mideast. In the interest of our nation's security, it is time for the Obama Administration to walk away (suspend talks) and make clear that we will never lift sanctions unless Iran is fully ready to abandon its nuclear program."
Lindsey Graham,R,s,"August 3, 2015",Statement by Senator Lindsey Graham on the Senate's Vote to Defund Planned Parenthood,"I wholly support the defunding of Planned Parenthood today and in the future. As president, I pledge I would never send a budget to Capitol Hill that contains a penny of funding for Planned Parenthood. Abortion related services comprise over 94 percent of Planned Parenthood's business. We can kill their funding while maintaining a robust commitment to providing access to important preventative medicine and prenatal services.Organizations that harvest body parts from unborn children is neither Planned Parenthood nor right and should not receive any support from the Federal Government. I'm running for president to create a culture of respect for human life and look forward to not only eliminating funding for Planned Parenthood, but also ending abortions at 20 weeks when a child can feel pain. The United States is one of seven nations that allows such a practice and as President I would make sure we are no longer part of that club."
Lindsey Graham,R,s,"August 8, 2015",Statement by Senator Lindsey Graham on Donald Trump's Offensive Comments About Megyn Kelly,"Due to Donald Trump's unrelenting and offensive attack on Megyn Kelly and others, we are at a crossroads with Mr. Trump. I applaud Erick Erickson for doing the right thing when he disinvited Donald Trump from a gathering of Republican activists. As a party, we are better to risk losing without Donald Trump than trying to win with him. Enough already with Mr. Trump.These statements are not worthy of the office he is seeking nor consistent with the leadership we should expect from a Commander-in-Chief in these dangerous times."
