Candidate,Party,Type,Date,Title,Speech
Mike Huckabee,R,p,"November 1, 2007","b'Press Release - Huckabee schedules stops in Waterloo, Cedar Falls, Vinton, and Cedar Rapids on Nov. 7-8'","b'DES MOINES  Republican presidential contender Mike Huckabee, who has surged to a tie for second place in Iowa and third in national polling, will visit Waterloo, Cedar Falls, Vinton and Cedar Rapids on Wednesday and Thursday, Nov. 7 and 8, his campaign office said today.Huckabee\'s Nov. 7 schedule includes a 10:00 a.m. tour of Iowa Metal Spinners, 7314 Chancellor Drive, Cedar Falls; and an 11:30 a.m. Meet Mike Huckabee lunch at Doughy Joey\'s Peetza Joynt, 300 W. Fourth St., Waterloo. The former Arkansas governor will speak at the University of Northern Iowa\'s Maucker Union in Cedar Falls, at 2:00 p.m. His final stop of the day will be a 5:30 p.m. Meet Mike Huckabee event at the Kirkwood Community College Center, 111 West Third St., Vinton.On Thursday, Nov. 8, Huckabee will be in Cedar Rapids at 9:00 a.m. for a meeting with local supporters at the Crowne Plaza, 350 First Ave., NE, before departing for campaign events in Michigan.Recent polling by the Rasmussen Reports shows Huckabee is locked in a ""virtual tie for second place"" in Iowa and has climbed to third place nationally in the contest for the 2008 GOP presidential nomination. Huckabee\'s campaign has also seen a marked increase in fund-raising, with online contributions since Oct. 1 nearing $1 million.'"
Mike Huckabee,R,p,"November 3, 2007","b""Press Release - Says October Was 'Best Month' in Terms of Polling, Money and Continued Media Drive""","b'Says October Was \'Best Month\' in Terms of Polling, Money and Continued Media Drive  LITTLE ROCK, AR  Former Arkansas Governor and Republican Presidential Candidate Mike Huckabee said today he had his ""best month ever"" in October in terms of media appearances, endorsements, debate performances, fundraising, and polling  surpassing all previous indicators of success. ""October has been a great month for the campaign. We\'re heading into November with tremendous momentum, having outperformed in every category,"" said Huckabee, who had media interviews this week on every news network. His major appearances included ABC\'s ""Good Morning America,"" Fox\' ""The O\'Reilly Factor,"" MSNBC\'s ""All Politics Day,"" CNN\'s ""Weekend Edition,"" PBS\' ""The Charlie Rose Show""  and others. (All told, the governor had 15 broadcast interviews this week.) On Tuesday, October 30, the campaign surpassed the ""One Million Dollar Mark"" in terms of October on-line contributions  shoring up growing support with thousands of new supporters. The financial boost came as new polls released show the former Arkansas governor\'s national numbers climbing into  and staying  in the double-digits. The campaign\'s online monthly fundraising goal was also hit on Wednesday, October 31 -- surpassing the amount by $1.00 that the campaign had taken in through all direct mail, on-line efforts, and fundraising events for the Third Quarter combined. Huckabee said his high profile media appearances and favorable performance in four presidential debates in the past six weeks (Values Voter, PBS, MSNBC and FOX), coupled with movie star Chuck Norris\' endorsement, and his rise to third place in national polls, have contributed to the campaign\'s ""best-ever fundraising performance."" ""I\'m grateful to the people who attended the Values Voter Summit and gave me a 5:1 advantage over my nearest rival  as well as to Chuck Norris, and people all across America , like Eric Deussing, who support my message and candidacy for President,"" he said. Deussing\'s contribution on Tuesday evening put Huckabee over the one million dollar mark in terms of on-line contributions for the month.'"
Mike Huckabee,R,p,"November 5, 2007",b'Press Release - Mike Huckabee Asserts His Strong Position & Record On Marriage And Life Amendments',"b'LITTLE ROCK, AR - Former AR Governor and Presidential Candidate Mike Huckabee issued the following statement today regarding an interview by former U.S. Senator Fred Thompson (TN) on NBC\'s ""Meet the Press."" ""Senator Thompson\'s comments on \'Meet the Press\' were disappointing and disheartening for those who were expecting him to be a solid voice for conservatives. The marriage and life amendments are critical issues for those of us who have been on the front lines of these cultural battles. Sen. Thompson\'s philosophy seems to be more \'cut and run\' when it comes to these issues, rather than stand and lead. ""I\'ve always supported the passage of a constitutional amendment to protect the right to life. As President, I will fight for passage of a human life amendment. My position on the sanctity of life has always been clear and consistent. No candidate has a stronger record on the sanctity of life than I do. As Governor of Arkansas, I successfully led efforts to promote a human life amendment and marriage amendment in my state. For me, it isn\'t just talk; it\'s a conservative record of leadership and conviction.""'"
Mike Huckabee,R,p,"November 5, 2007","b""Press Release - Mike Huckabee's Weekly Schedule for Week of November 5, 2007.""","b'Little Rock, AR  The following is the public schedule for former Arkansas Governor and Presidential Candidate Mike Huckabee for the week of November 5, 2007. Note: Subject to change. Wednesday, November 7, 2007 10:00 a.m.  Cedar Falls, IA  Tours Iowa Metal Spinners, 7314 Chancellor Drive. Contact: Eric Woolson, Tel: 515-681-3967. 11:30 a.m. CT  Waterloo, IA  Attends ""Meet Mike Huckabee"" lunch at Doughy Joey\'s Peetza Joynt, 300 W. Fourth St. Contact: Eric Woolson, Tel: 515-681-3967. 2:00 p.m. CT  Cedar Falls, IA  Speaks at the University of Northern Iowa\'s Maucker Union, 1227 W. 27th St. Contact: Eric Woolson, Tel: 515-681-3967. 5:30 p.m. CT  Vinton, IA  Attends ""Meet Mike Huckabee"" event at the Kirkwood Community College Center, 111 W. Third St. Contact: Eric Woolson, Tel: 515-681-3967. Thursday, November 8, 2007 9:00 a.m. CT  Cedar Rapids, IA  Meets with local supporters at the Crowne Plaza, 350 First Ave., NE. Contact: Eric Woolson, Tel: 515-681-3967. 5:30 p.m. ET  Owosso, MI  Attends private fundraiser at Steve\'s Place in the Comstock Hotel, 300 E. Main St. Friday, November 9 2:30 p.m. ET  Lebanon, NH  Speaks at Dartmouth-Hitchcock Medical Center Health Policy Grand Rounds at Dartmouth-Hitchcock Medical Center, One Medical Center Drive. Contact: Debra Vanderbeek, Tel: 603-986-9145. 6:00 p.m. ET  8 p.m. ET  Concord, NH  Private meetings. Saturday, November 10 8:00 a.m. ET  Durham, NH  Runs in 5K Fun Run with supporters at the University of New Hampshire, 35 Madbury Road (in front of the TKE House). Contact: Debra Vanderbeek, Tel: 603-986-9145. 10:30 a.m. ET  Exeter, NH  Participates in downtown walk with Rep. Lee Quandt at Town & Country Barber, 231 Water Street. Contact: Debra Vanderbeek, Tel: 603-986-9145. 11:00 a.m. ET  Exeter, NH  Attends Coffee & Conversation hosted by Rep. Lee Quandt and Chris Moustis at the Townlyne Grill, 52 Hampton Road. Contact: Debra Vanderbeek, Tel: 603-986-9145. 12:30 p.m. ET  Seabrook, NH  Attends Chowderfest co-hosted by the Seacoast Republican Women and the Hampton and Seabrook Republican Town Committees at Brown\'s Seabrook Lobster Pound, Route 286. Contact: Debra Vanderbeek, Tel: 603-986-9145. 2:30 p.m. ET  Bedford, NH  Attends reception at the home of Bob & Estella Hughes, 65 Kensington Lane. Contact: Debra Vanderbeek, Tel: 603-986-9145. 4:30 p.m. ET  Amherst, NH  Attends house party hosted by Bob Burns, 5 School Street. Contact: Debra Vanderbeek, Tel: 603-986-9145.'"
Mike Huckabee,R,p,"November 6, 2007",b'Press Release - New CNN/Opinion Dynamics Poll Shows Huckabee Surging Forward',"b'Little Rock, AR  Former AR Governor and Presidential Candidate Mike Huckabee said today that a new CNN/Opinion Dynamics Poll shows that his GOP presidential campaign is the only one with ""significant upward momentum.""Huckabee is now in a virtual dead heat with former Gov. Mitt Romney for third place, with 10 percent of the vote. The former Arkansas governor\'s polling numbers have doubled since a similar survey was taken on October 12-14. He is the only candidate experiencing a significant upward trend.""This poll confirms what we\'re feeling on the ground: that my message is really connecting with voters. We\'re on a surge, moving up five points in the past two weeks, while others have reached their peak,"" said Huckabee. ""I keep telling my staff and supporters  we need to keep doing what we\'re doing. With only two months to go before the Iowa caucus, we need to keep pressing forward,"" said Huckabee. The telephone survey of 1,024 registered Republican voters was conducted Nov. 2- 4, 2007 by the Opinion Research Corporation. There was a plus or minus margin of error of 1-3 percentage points.'"
Mike Huckabee,R,p,"November 6, 2007",b'Press Release - Governor Mike Huckabee Launches Arkansas GOP Leadership Team',"b'Little Rock, AR  Former Arkansas Governor and Presidential Candidate Mike Huckabee announced the launch of his Arkansas GOP Leadership team today  a group that includes a growing list of current and former federal and state Republican officials from the Natural State. ""Republicans in Arkansas have a long track record of taking on difficult tasks, overcoming tremendous challenges and winning battles that no one thought we could win,"" Huckabee said. ""Despite being in a mostly Democrat state, we had great success in cutting taxes, passing pro-life legislation, fighting for the family, improving education and highways and making government more efficient."" ""I have known Governor Huckabee for many years, and at one time, I served as his Chief Legal Counsel,"" former U.S. Attorney Bud Cummins said. ""He is a true leader, who makes firm, informed decisions based on simple standards of right and wrong and what is best for the citizens who elected him. He owns his decisions and doesn\'t need to take a poll before deciding to do what\'s right. He has been so successful with his straightforward approach that it makes you wonder why more of these people don\'t try it."" ""The two main reasons I support Gov. Huckabee for President are the fact that he has always been pro-life  and he has more than 10 years of executive experience,"" former Cong. Jay Dickey said. ""Gov. Huckabee far outdistances himself from the other candidates by his outstanding moral values and conservative convictions."" ""For the past 14 years, I have watched Mike Huckabee lead our state,"" former U.S. Rep. Asa Hutchinson said. ""He fought the Democrat machine in Arkansas and brought honor and dignity to our highest office. He has campaigned long and hard for our Republican candidates to help build a better Arkansas ."" ""I had the privilege of serving for eight years in the legislature during the Huckabee administration,"" Sen. Shawn Womack said. ""Anyone who saw his leadership during the Hurricane Katrina relief effort had to be impressed by the way he was able to organize the resources of the state to provide relief and comfort to the tens of thousands of evacuees."" ""My experience with Gov. Huckabee that of a man who was thoughtful and well reasoned in his decisions,"" Former Rep. Doug Matayo said. "" Arkansas is much better off because Mike Huckabee was our Governor. He is the best choice for president and I completely support his candidacy."" The following is a list of those who have signed on as members of Huckabee\'s Arkansas GOP Leadership Team:  Bud Cummins  Former U.S. Attorney  John Paul Hammerschmidt  Former U.S. Congressman  Asa Hutchinson  Former U.S. Congressman  Tim Hutchinson  Former U.S. Senator  Jay Dickey  Former U.S. Congressman  Betty Dickey  Former Chief Justice of Ark. Supreme Court  John Boozman  U.S. Congressman  Dennis Milligan  Arkansas Republican Party Chairman  Gay White  Former First Lady of Arkansas Lisenne Rockefeller  Widow of the Late Lt. Governor Win Rockefeller Jim Burnett  Republican National Committeeman & Former NTSB Chairman Reta Hamilton  Republican National Committeewoman Phyllis Kincannon  Arkansas Republican Party Activist Prissy Hickerson  Former Arkansas HighwayCommissioner Doyle Webb  Former State Senator Barbara Webb  Former Saline County Prosecutor Phil Wyrick  Former State Senator Carolyn Pollan  Former State Representative Gilbert Baker  State Senator Sharon Trusty  State Senator Denny Altes  State Senator Bill Pritchard  State Senator Michael Lamoureux State Representative and House Minority Leader Mark Martin  State Representative Jim Medley  State Representative Frank Glidewell  State Representative Bryan King  State Representative Beverly Pyle  State Representative Rick Green Sate Representative Mary Beth Green  Former State Representative David Haak  Former State Representative Doug Matayo  Former State Representative Hoyt Johnson  Former State Representative Candidate Andy Mayberry  Former U.S. Representative Candidate Joyce Campbell  Former State Rep. Candidate Chee Chee Tamburo  Former State Rep. Candidate Wayne Bowen  Justice of the Peace Carol Lester  Arkansas County Chairman Mark Dye  Scott County GOP Chairman Ladon Copelin  GOP Party Activist Bernard Mize  Polk County Chair Billie Sue Hoggard  Former State Representative Candidate ""I\'m proud to have these fellow Republicans on my team,"" Huckabee said. ""Their support, combined with the growing momentum of the campaign, will give us what we need for a strong showing in Iowa and the early primary states.""'"
Mike Huckabee,R,p,"November 6, 2007",b'Press Release - Huckabee campaign sets the record straight with Paul Weyrich',"b'Little Rock, AR  Former AR Governor and Presidential Candidate Mike Huckabee said he was disappointed that one of his political mentors endorsed another Republican candidate based on information that was factually incorrect. ""I love Paul Weyrich and he has been a political mentor to me. It hurts that he has accepted some misinformation as fact, but I will forever respect and appreciate him. I will continue to support Paul even if he doesn\'t support me, "" Huckabee said. ""One thing is for sure---when I was a 23 year old communications director for a Christian organization that helped launch Christian involvement in public affairs, Paul Weyrich was one of my heroes and I\'ll bet in the late 70\'s and 80\'s Mitt Romney wasn\'t listening to cassette tapes of Paul Weyrich speeches like I was. "" Weyrich wrote of Huckabee ""I like him and he certainly is somebody who can give a stemwinder but I have learned so many things about his waffling positions."" One of the virtues of the Huckabee campaign is that the issues he supports today are the same issues he supported while serving as lieutenant governor and governor of Arkansas. Huckabee participated in the annual Right-to-Life March down Capitol Avenue in Little Rock Huckabee successfully led efforts to promote a human life amendment and marriage amendment in Arkansas and, as President, would lead the charge for similar amendments at the federal level. ""My position on the sanctity of life has always been clear and consistent. It is the same with my views on marriage. The institution of marriage is between a man and a woman. I have never supported gay marriage or civil unions,"" Huckabee said. Weyrich took the word of two people outside the mainstream of Republican politics who falsely claimed Arkansas\' Republican Party is in shambles. Dennis Milligan, chairman of the Republican Party of Arkansas, strongly disagrees with the idea that the party is in shambles. ""The Republican Party of Arkansas is not in shambles. While the party has never held the majority of elected offices, the Republican Party reached a high-water mark while Mike Huckabee was governor. ""In 2006, when Governor Huckabee left office because of term limits and Lt. Governor Win Paul Rockefeller died, Democrats where able to win the top two state constitutional offices. Arkansas wasn\'t the only state where Democrats won a lot of state and federal elections that year. It was a national trend and blaming Mike Huckabee is just wrong. ""In 2008, Republicans in Arkansas will field strong candidates for the state Legislature, U.S. Senate, Congress, and a favorite son for the White House. That\'s not a party in shambles,"" Milligan said. Weyrich was also misinformed on Huckabee\'s stand on statehood for the District of Columbia. Huckabee has never supported statehood for the district, but does support citizens living in the District having a representative in the House of Representatives, but not the Senate. ""I have great respect for Paul Weyrich and I want him to know the truth,"" Huckabee said.'"
Mike Huckabee,R,p,"November 7, 2007",b'Press Release - Mike Huckabee Comments On Recent Endorsements',"b'Little Rock, AR  Former Arkansas Gov. and Presidential Candidate Mike Huckabee has issued the following comment in response to recent GOP endorsements: ""The Rev. Pat Robertson\'s endorsement of former Mayor Giuliani proves once again that we are blessed to live in the greatest country in the world. People have the right to support the candidate of their choice, even when that candidate has sharp differences on the most fundamental issue of human life and the sanctity of the unborn. ""Regarding Senator Brownback\'s endorsement of Senator McCain, I respect his decision and believe wholeheartedly that Senator McCain is a great patriot and public servant. However, there are key differences between Senator McCain\'s record and my results-driven record of leadership as a twice-elected Republican Governor of the state of Arkansas. Sen. McCain and I share a positive vision for America\'s future but there are key differences. I urge Senator Brownback\'s supporters to take a close look at my record. I welcome and value their support.""'"
Mike Huckabee,R,p,"November 8, 2007",b'Press Release - Presidential Candidate Mike Huckabee Receives Endorsement from American Family Association Founder Donald Wildmon',"b'Little Rock, AR - Former Arkansas Governor and Presidential Candidate Mike Huckabee has received a significant endorsement from Donald E. Wildmon, founder of American Family Association (AFA). The AFA represents and stands for traditional family values, focusing primarily on the influence of television and other media  including pornography  on our society. ""I feel that Gov. Huckabee understands the needs of our country and has the ability to lead us in meeting those needs,"" Wildmon said. ""I\'m proud to receive the support from such an influential member of the religious community,"" Huckabee said. ""Rev. Wildmon and I share the same values on faith and family, which are key issues for the Republican party."" Wildmon, a retired United Methodist minister, is founder and chairman of the AFA. AFA, founded in 1977, has nearly 3,000,000 on-line supporters and owns and operates approximately 200 radio stations. The ministry employs approximately 160 individuals. ""This is a personal endorsement. It is not the endorsement of any group with which I may be associated,"" Wildmon said.'"
Mike Huckabee,R,p,"November 9, 2007",b'Press Release - Mike Huckabee Comments About Endorsement Rumors',"b'LITTLE ROCK, AR - Former Arkansas Governor and Presidential Candidate Mike Huckabee issued the following statement today regarding James Dobson: ""There is no imminent campaign announcement about his support - and my campaign has not said there is, despite wild Internet rumors and some press accounts to the contrary. I have also spoken personally to him about the matter.""'"
