Candidate,Party,Type,Date,Title,Speech
John Kasich,R,p,"July 22, 2015","Press Release - Video: John Kasich's Presidential Announcement July 21, 2015","Watch Gov. John Kasich's Presidential Announcement Event on July 21, 2015Here's a short highlight video from the announcement event"
John Kasich,R,p,"July 23, 2015",Press Release - Another View  Peter Thomson: Why John Kasich is the Choice for Republicans for 2016,"By Peter Thomson: Union LeaderI RECENTLY retired from the State of New Hampshire, where I served nearly 23 years as the coordinator of the Highway Safety Agency. On the morning of my final trip from Orford to Concord, I was speaking to a good friend of mine who was asking me what I was going to do with all my free time. I explained that I was looking forward to traveling, working to expand my maple syrup business, spending time with my nine grandkids and politicking!Over the last two decades, I have kept a relatively low profile when it came to campaigning on behalf of my favorite candidates, choosing to do more behind-the-scenes work. That is all going to change in this upcoming presidential election, where I plan to do all I can to make sure a Republican is elected to the White House on Nov. 8, 2016. To that end, I am asking my independent friends and fellow Republicans to join me in supporting Ohio Gov. John Kasich in the upcoming Republican presidential primary.No Republican has ever moved into the White House without having first won the state of Ohio in the general election. Gov. Kasich by far gives us the best chance of winning Ohio, having just been re-elected by a landslide in 2014. When the polls closed that day, he had won 86 of 88 counties, 60 percent of women voters, 26 percent of African-American voters and 57 percent of voters aged 18-29. In fact, very recent polling shows the governor easily beating Hillary Clinton in the Buckeye State; no other Republican candidate can boast that key point.Beyond the governor's electability, I am choosing to support him because of his impressive track record in Ohio. Many of you know that I served as my father's chief of staff during his time as governor. During that time, I got a firsthand look at the difficulties a chief executive has in running a fiscally responsible state. That is why I am impressed with John's record as a fiscal conservative in Ohio. He quickly eliminated a huge budget shortfall without raising any taxes; in fact he cut taxes, most notably he eliminated the dreaded death tax and cut the income tax and small business tax.I know how difficult it is to balance the need to cut taxes to spur economic growth with the need to provide basic government services such as education and a safe transportation infrastructure system. The safety of our highways is near and dear to me, having spent most of my career trying to keep New Hampshire drivers safe, but I know safe highways go beyond driver's education and DUI checkpoints: Our roads and bridges need to be maintained. Gov. Kasich embraced an innovative and tax-free approach to generate $3 billion to upgrade Ohio's vital highway and bridge network. When it comes to education, John enacted a comprehensive education reform agenda that set higher standards for student achievement with a new Third Grade Reading Guarantee and improved school accountability.It was during a brief water break one hot summer day when we were planting corn that my father told me he was going to run for governor. I thought perhaps the sun had gotten to him, but he was serious. That evening he called some of the family together and announced that he was going to run, taking a hiatus from his successful law book publishing company and his beloved farm to do what he referred to as his duty.I find Gov. Kasich's decision to run for President similar to my Dad's decision: not something to do to cap off an impressive career, but instead answering the call from above. He is already the most qualified and experienced candidate in the Republican field, having served 18 years as a member of congress, 10 years in the private financial sector, and now more than four years as the very successful governor of the country's seventh-largest state. He doesn't need to be President, but he feels that the country is in need of strong, principled leadership. I, for one, feel that he is the candidate best suited to restore the American dream for us all and would ask you to join me in supporting Gov. Kasich for President.Peter Thomson is owner of Mt. Cube Farm in Orford. He is the son and former chief of staff to former New Hampshire Gov. Meldrim Thomson."
John Kasich,R,p,"July 25, 2015",Press Release - Video: Hillary Clinton & the Democrats Are Afraid of John Kasich,"In a recent Fox News interview, Ed Henry mentioned that the Clinton Campaign is growing increasingly concerned about John Kasich's presidential candidacy. Watch the video and please share:Chip in today to help John Kasich!"
John Kasich,R,p,"July 29, 2015",Press Release - Fox Business: Opinion: Can John Kasich Fix Washington?,"By: Steve TobakJuly 28, 2015When you've worked with as many top executives as I have, you can't help but notice certain behavioral attributes that separate the extraordinary ones from the pack. Some qualities are probably fundamental to all great leaders, while others are surprisingly difficult to characterize.Take Ohio Governor John Kasich, for example. I wasn't the least bit surprised to see him enter the crowded field of GOP hopefuls for the 2016 presidential nomination. Fund-raising ability aside (not exactly my thing), as I see it, he's got an interesting balance of foundational and intangible qualities that make a great leader ... of a company or a nation.While he comes across as a regular guy with a sort of endearing folksy quality, when it comes to his position on key issues, he never wavers. He's always clear on what he stands for and why it makes sense to him. He's not an idealist, mind you, but a clear thinking pragmatist focused on his priorities. And while he's known for setting aggressive fiscal goals, he has an extraordinary track record of achieving them.As chairman of the House Budget Committee during the late 90s, he championed the Balanced Budget Act of 1997 and, during his tenure, the federal budget shifted from a deficit of $163 billion to a rare surplus of $236 billion. Likewise, as governor of Ohio, his priorities were to balance the budget, create jobs and slash unemployment without raising taxes. And that's exactly what he did.What I think few people understand about remarkably successful executives is how important it is for them to remain focused on critical priorities and not get distracted by all the noise.Read more"
John Kasich,R,p,"August 3, 2015",Press Release - Endorsement: New Hampshire House Majority Leader Jack Flanagan Endorses Gov. John Kasich,"NEW HAMPSHIRE HOUSE MAJORITY LEADER JACK FLANAGAN THINKS JOHN KASICH SHOULD BE THE NEXT PRESIDENT OF THE UNITED STATESToday New Hampshire House Majority Leader Jack Flanagan (R-Brookline) announced that he is backing Ohio Gov. John Kasich for President. Rep. Flanagan cited Kasich's success in creating a jobs-friendly climate to turn around Ohio's economy and putting conservative budget policies to work at both the federal and state levels.""The last time the federal government had a balanced budget was when John Kasich made it happen. He hasn't been in Washington since and it hasn't happened since. We need his leadership in the White House because Washington won't work for us until we get a leader who puts good policy before partisanship. He's put conservative ideas to work in Ohio to get the economy going again and he's been able to work with people with other views to produce good results. America needs John Kasich's kind of experience and leadership,"" said Flanagan.Flanagan is the New Hampshire House of Representatives Majority Leader and is serving his third term in the House. He previously served as selectman in the Town of Brookline, vice chair of the Hollis Brookline Cooperative School District and chair of the Brookline School Board. He is a retired small business person.""I'm grateful to Jack for his support and for joining our effort to get America back on track fiscally, as well as to make it a safer, more unified place. Jack's been a strong, sensible leader in New Hampshire and I value that kind of person on our team. He brings a deep knowledge of New Hampshire politics and an appreciation for the kinds of ideas that will get America going again. I'm glad he's going to work as part of our team to help America rise again,"" said Kasich."
John Kasich,R,p,"August 4, 2015",Press Release - Endorsement: New Hampshire GOP Leader Nancy Merrill Endorses Gov. John Kasich,"NEW HAMPSHIRE GOP LEADER NANCY MERRILL THINKS JOHN KASICH SHOULD BE THE NEXT PRESIDENT OF THE UNITED STATESFormer NH GOP National Committee Woman Co-Chaired 2000 & 2008 Efforts for U.S. Senator John McCain's Presidential BidToday New Hampshire GOP leader Nancy Merrill endorsed Ohio Gov. John Kasich for President, pointing to his 18 years of national security experience, success putting conservative ideas to balancing the federal budget and turning around Ohio and proven ability to create a jobs-friendly environment that helps everyone rise.""John Kasich, quite simply, has done it. He's led on national securitywhich is so important in today's chaotic world, he's led on the economy in a large and complex state, he's wrestled the federal budget to the ground and he's a uniter not a divider, which is saying something in a state as diverse as Ohio,"" said Merrill. ""He's who America needs now more than ever.""Merrill is a long-time New Hampshire Republican leader whose endorsement brings significant weight among the state's GOP activists. She is a former Republican National Committee member from New Hampshire and co-chaired U.S. Senator John McCain's campaigns in New Hampshire in 2000 and 2008.""Nancy's support means a lot to me personally, but more important it is going to make a difference. The momentum accelerates when key people like her bring their organization and support to our effort and I'm very grateful,"" said Kasich. ""The response in New Hampshire has been amazing. I'm grateful to all of those who have been willing to listen to what I have to say, to check me out and come out and say hello. It's definitely happening and I'm confident we're going to that progress build and build."""
John Kasich,R,p,"August 4, 2015",Press Release - John Kasich at the Voters First Forum 8/3/15,
John Kasich,R,p,"August 5, 2015",Press Release - New Poll: Gov. Kasich at #2 in New Hampshire!,"Gravis Marketing released a new poll of of New Hampshire Republicans today that showed Governor John Kasich in 2nd in New Hampshire with 15 percent of the vote. He is one of only two candidates in double digits in the state.Rober Herring, CEO of Gravis Marketing, said, ""Kasich is also gaining in the polls and will be the challenger to watch."""
John Kasich,R,p,"August 6, 2015",Press Release - Newsmax: Hoekstra: Kasich Has Foreign Policy Experience Others 'Sorely Lacking',"Former Congressman Pete Hoekstra recently commented in a Newsmax article that he thinks some candidates are sorely lacking meaningful foreign policy experience and suggested that if any candidate is ready to lead America's foreign policy, it's Ohio Gov. John Kasich:""Some of the candidates running for president are sorely lacking in meaningful foreign policy experience  a pedigree of utmost importance in today's turbulent world climate, former Rep. Pete Hoekstra, who chaired the House Intelligence Committee, tells Newsmax TV.But if one stands out, according to Hoekstra, it is Ohio Gov. John Kasich.""There are a number of the governors that don't have the foreign policy experience. What is their vision? How realistic are their visions?"" Hoekstra, a Michigan Republican, said Tuesday to John Bachman and Miranda Khan, co-hosts of Newsmax Now.""Immediately pulling out of an Iran deal or immediately going into Syria, we know that these issues are much more complicated than that. We need someone who can go up there, who can understand the issues, identify the right people, to put in place their vision for the future.""But they have to be comfortable talking about these issues and in foreign policy, you have to walk away from making absolutes. It's not that easy, foreign policy is very, very difficult...""""But as you start going through some of the other candidates, you take a look at the governor of Ohio, John Kasich. John has 18 years of experience on the Armed Services Committee in the House, He's also been a governor.""Hoekstra said that in reality, voters know very little about how any of the candidates stand on foreign policy and the depth of their experience.""Up until recently, foreign policy would have been number seven or eight on their list of priorities. Most of the time American people don't pay much attention to foreign policy,"" he said."""
John Kasich,R,p,"August 7, 2015",Press Release - CNN: Debate Coach: Why Kasich Was Fantastic,"CNN  August 7, 2015By Ed Lee""Winner John KasichKasich was fantastic. He was confident throughout the debate. While it felt like the other candidates were in a race to one-up each other, Kasich came across as refreshingly real and authentic. His defense of simultaneously opposing gay marriage and respecting the Supreme Court's decision will be well received across the political spectrum. I expect Kasich's poll numbers to skyrocket after this performance.""You can read the entire article here."
