Candidate,Party,Type,Date,Title,Speech
Martin O'Malley,D,p,"May 30, 2015","b""Press Release - Immigration as 2016 Issue Upped With Martin O'Malley's Candidacy""","b'http://www.nbcnews.com/news/latino/immigration-2016-issue-upped-martin-omalleys-candidacy-n366666The heat that immigration has brought to the 2016 presidential campaigns could intensify Saturday with the addition of former Maryland Gov. Martin O\'Malley to the Democratic field.All expectations are that on Saturday in Baltimore, O\'Malley will announce his bid to be the Democrats\' 2016 presidential nominee.When he does, supporters say he\'ll bring with him a record of work on issues of concern to Latinos and immigrants that rivals that of his fiercest Democratic opponent, Hillary Clinton.Though he\'s considered an underdog with a big gap to overcome to win the Democratic primary, several Latino leaders consider him a stronger ally on immigration and support of the Latino community.""Martin O\'Malley, in his history as governor of Maryland, has been a real hero for the immigrant community. He not only supported many groundbreaking reforms in the state, he also became a national spokesperson for immigrant families and their human rights, especially the unaccompanied minors who arrived in droves on the border last year,"" said Kim Propeack, chief of political communication forCASA de Maryland  Maryland\'s largest immigrants services and rights organization  and director of its political arm.That alone won\'t be enough to propel him to frontrunner, but it does serve to add even more attention to the place immigration is taking in the 2016 race, which can also set a tone for races down ballot.""What this does is give our community a real choice,"" said Ben Monterroso, executive director of Mi Familia Vota.""It will help sharpen (Hillary\'s) position and distinguish it from the Republican Party,"" said Stella Rouse, an associate professor in government and politics at the University of Maryland.Maryland\'s Latino population has been booming in recent decades and now is about 9 percent of the state\'s population. About 80 percent of the Latino population is non-Mexican, according to Pew Research Center.As governor, O\'Malley signed a bill allowing young immigrants illegally in the U.S. to pay in-state college tuition and to a bill to get driver\'s licenses.He was the first governor to meet with Latino leaders last year and sign up to push House Republicans to bring immigration reform legislation to a vote, which they never didHe has shown respect that many in the immigrant community say is lacking in debates on immigration by using the term new Americans to refer to immigrants, whether here legally or not. He also established a state council to focus on integrating immigrants.He opposed White House proposals to return young Central American children and families who crossed the U.S-Mexico border last summer, saying they would face ""certain death.""On deportations  an issue that still vexes the current administration  O\'Malley stopped Baltimore\'s City Detention Center from holding immigrants without criminal records for deportation by the federal government. Malley\'s office also has hired former lobbyist and former Obama Hispanic media director of political engagement, Gabriela Domenzain, according to Buzzfeed.""He was very helpful on the immigration question in Maryland and certainly is someone we think of as a friend and more progressive on immigration matters,"" said Brent Wilkes, executive director of League of United Latin American Citizens.But Wilkes added that he didn\'t think his entrance and record would hurt Clinton ""because of the aggressive effort"" she\'s made on immigration in her campaign.In response to questions from immigration activists on unaccompanied children who arrived at the U.S. border last year, Clinton said the children should be sent back, essentially supporting the Obama administration\'s stand on the influx.But she has since said mothers and children should not be held in immigration detention. She has hired an immigrant who lived in the U.S. illegally and became active on immigration reform politics, Lorella Praeli, as part of her campaign staff. Praeli is now a legal resident.She has said she would expand on Obama\'s immigration executive action programs to shield the parents of young immigrants illegally in the country from deportation as well.""I will fight to stop partisan attacks on the executive actions that would put Dreamers . . . at risk of deportation,"" she said at a roundtable in Nevada, according to The Associated Press. ""If Congress refuses to act, as president I will do everything possible under the law to go even further.""The high profile and details their campaigns are giving  and will give  to the immigration issue hasn\'t always been the case in presidential campaigns. But the topic has moved more and more to center stage with the help of young immigrants who call themselves Dreamers. They have regularly pressed politicians and the sitting administration to address the effect of U.S. immigration policies on their lives and their families\' lives.Although there are certainly other issues of interest to Latino voters, immigration has been something of a mobilizer. In 2012, 54 percent of Latino voters were naturalized or had at least one immigrant parent.Also in the Democratic field, Sen. Bernie Sanders, an Independent from Vermont, has backed immigration reform. But he withheld support for last year\'s sweeping Senate immigration bill until fixes were made to a guest worker provision that he thought would allow for the hiring of cheap labor in place of U.S. workers. He has supported Obama\'s executive action programs.Republican candidates have worked to engage the Latino community, with Sen. Ted Cruz, R-Texas, doing a National Press Club interview with Javier Palomarez, U.S. Hispanic Chamber of Commerce president last month and expected candidate Jeb Bush making appearances in Puerto Rico and before the National Hispanic Christian Leadership Conference\'s convention in Houston. O\'Malley is scheduled for an appearance with Palomarez on Wednesday.While GOP presidential hopefuls are largely opposed to Obama\'s executive action, regarding it as overreach, they too have been discussing immigration on the trail.Latinos were about 10 percent of the electorate in 2012. According to Pew Research Center, Obama received 71 percent of Hispanic votes, the highest of any president since former President Bill Clinton won 72 percent of the Latino vote in 1996.'"
Martin O'Malley,D,p,"June 15, 2015",b'Press Release - Conversations in Iowa',"b'[View the story ""Conversations in Iowa"" on Storify]'"
Martin O'Malley,D,p,"June 18, 2015",b'Press Release - A Jobs Agenda for Our Renewable Energy Future',"b'Originally published in USA Today, June 18, 2015Today, Pope Francis published his encyclical  an official teaching document to all 1.2 billion Catholics worldwide  on the moral imperative of addressing climate change. He is not alone among leaders of world faiths making such a clarion call for action.We have come a long way as a nation in making ourselves more energy independent. Now is the time to take this progress to the next level  the future of our country and our planet depends on it.New technologies now put an independent clean energy future decidedly within our reach as a nation.But reach for it we must.Clean energy represents the biggest business and job creation opportunity we\'ve seen in a hundred years. Reliance on local, renewable energy sources also means a more secure nation and a more stable world.Given the grave threat that climate change poses to human life on our planet, we have not only a business imperative but a moral obligation to future generations to act immediately and aggressively.This is why protecting the United States from the devastating impact of climate change  while capitalizing on the job creation opportunity of clean energy  is at the center of my campaign for President.All of us can acknowledge that with an ""all of the above strategy,"" President Obama has made the United States more energy independent in every category of fuels, including oil and gas.But America did not land a man on the moon with an ""all of the above strategy."" It was an engineering challenge.Making the transition to a clean energy future is also an engineering challenge. We cannot meet the climate challenge with an all-of-the-above energy strategy, or by drilling off our coasts, or by building pipelines that bring oil from tar sands in Canada.Instead, we must be intentional and committed to one over-arching goal as a people: a full, complete transition to renewable energy  and an end to our reliance on fossil fuels.Saving the world is a goal worthy of a great people. It is also good business for the United States of America.I believe, within 35 years, our country can and should be 100% powered by clean energy, supported by millions of new jobs. To reach this goal we must accelerate that transition starting now.As President, on Day One, I would use my executive power to declare the transition to a clean energy future the number one priority of our Federal Government.I would create a new Clean Energy Jobs Corps to partner with communities to retrofit buildings to be more energy efficient, improve local resiliency, create new green spaces, and restore and expand our forests so they can absorb more greenhouse gases.I would retrofit federal buildings to the highest efficiency standards and require new federal buildings to be net-zero. I would require the federal fleet to be subject to low- or zero-emissions purchasing agreements, and require all federally-funded infrastructure projects to meet climate resiliency standards.As President, I would direct the Environmental Protection Agency to take aggressive action to limit greenhouse gases: expanding rules to other large sources of emissions beyond power plants, adopting a zero-tolerance policy for methane leaks from current oil and gas production, and setting higher energy efficiency standards for new buildings while requiring energy costs to be transparent to building tenants and purchasers.And I would reject projects like Keystone XL, drilling off our coasts and in the Arctic and Alaska. Furthermore, I would keep domestically produced oil and gas in the U.S., instead of selling it abroad  unless there is a clear strategic security rationale.Beyond executive actions, I would make clean energy deployment  and full employment  a first order priority.I would set a national, cross-sector Renewable Electricity Standard so our nation is powered by 100% clean energy by 2050, and a national goal of doubling energy efficiency within 15 years. Many states like California and Maryland are already leading the way forward for the United States.I would fight for federal legislation for a cap on carbon emissions from all sources, with proceeds from permits returned to lower- and middle-class families, job transition assistance, and new jobs with the Clean Energy Corps.As President, I would support a Clean Energy Financing Authority to support projects to increase efficiency and resiliency upgrades in cities, towns, and rural communities nationwide.I would prioritize modernizing our electric grid to support localized renewable energy generation, reduced electricity waste, and increased security from sabotage or attack.And I would increase our investment in basic clean energy research so the U.S. can reclaim the lead on energy innovation, including advancing development, deployment, transmission, and storage for renewable energy and new efficiency technologies.The fact is, there is no either/or choice between our prosperity and protecting our planet  we can create a future where there are more jobs, and a future with a livable climate. And there is no future for humankind without a livable climate.The reality, as we learned in Maryland, is that the two goals of job creation and a livable climate are indivisible. Driven by ambitious targets, we created thousands of new jobs while deploying clean energy technology and reducing greenhouse gas pollution by nearly 10 percent over just seven years.As a Nation, together, we can do far more  with a bold vision for America\'s clean energy future, and the strong leadership needed to get it done.'"
Martin O'Malley,D,p,"June 29, 2015","b""Press Release - O'Malley Visits Sioux City""","b'[View the story ""Seeing Sioux City, IA"" on Storify]'"
Martin O'Malley,D,p,"June 29, 2015",b'Press Release - Tales from the Trail',"b'[View the story ""Tales from the Trail"" on Storify]'"
Martin O'Malley,D,p,"July 10, 2015",b'Press Release - An Open Letter to Wall Street Megabanks',"b'Read the complete policy proposal here.As you may have read, I\'ve expressed grave concern about the state of our national economy, especially as it relates to the behavior of a select group of financial institutions on Wall Streetthe institutions that you work for and represent. I have called for significant structural and accountability reforms to prevent another economic crash and protect hard-working families from losing their jobs, homes, and life savings once again.Most of our financial system works quite well. Of the almost 6,500 banks in our country, most of which work hard every day to serve their communities, just 29 have more than $100 billion in assets and only four have more than $1 trillion in assets. The high-risk, reckless, and illegal activities of your megabanks were the primary cause of the 2008 crash, which caused the worst recession since The Great Depression, and cost the American economy an estimated $14 trillion to $22 trillion.I know that many of you have tried to dismiss and undermine my calls for stronger reforms as ""anti-capitalist."" Let me be clear- the ongoing reckless behavior of your megabanks isn\'t capitalismit\'s the antithesis of it. True capitalism requires a level playing field on which everyone plays by the same set of rules. True capitalism requires competition. True capitalism means that just as businesses and banks can succeedthey can also fail.Today, yourtoo-big-to-fail, too-big-to-manage, and too-big-to-jailmegabanks pose an enormous risk to the financial system, the economy, and American families. They are so big and so interconnected with the entire financial system that the failure of one or more of them could cause the collapse of the entire U.S. economy.After several misguided deregulatory measures taken in the 1990\'s, your handful of megabanks went from having assets of approximately 15% of our country\'s GDP to now having assets of nearly 65% of our GDP. As your megabanks grew in size, who gained from it? Credit card fees didn\'t get smaller. Mortgage rates didn\'t go down. The median wages of Americans certainly didn\'t increase. The only tangible gain we\'ve seen from your institutions\' explosion in size is your ability to concentrate unprecedented power and wealth in the hands of your executives and to acquire the guarantee that all of your risky bets will be covered by taxpayers.Now, because your institutions are so large, so leveraged, and pose such a grave threat to our economy, you don\'t face the same rules of the free market that apply to everyone else. If your bets go bad, you don\'t face bankruptcytaxpayers bail you out. When things go well, the upside is all yours and you get to cash in exorbitant bonuses. This violates the very principle of free market capitalism.For similar reasons, both your megabanksand your executiveshave been somehow classified as too big to prosecute and too big to jail. Exacerbating the problem, our financial regulation system is defined by conflicts of interest and a lucrative revolving door. Former financial executives are hired to regulate their former colleagues and, when they leave for government, they\'re given golden parachutes. Then, they turn right around and return to the firms they were supposed to be regulating.All of this explains why, when laws are broken, you and your institutions get off with nothing more than a slap on the wristfines paid by shareholders that you can write off as nothing more than business expenses. No admission of guilt, no one faces jail time, everybody keeps their jobs  back to bonuses as usual.As President, I would end this double standard of justice. It is bad for our economy, and it is bad for our country.A strong American economy depends on a strong, financial industry that plays by the rules. And among the greatest victims of your megabanks have been the thousands of community banks that are the backbone of our economy. These banks provide the financing for the American Dream of homes, businesses, educations, and secure retirements. Yet they\'re forced to compete on an un-level playing fieldone where they bear the brunt of declining credit and wagesand where megabanks are rewarded with subsidies and bailouts.So here\'s the bad newsfor you: As President, I have no plans to let up on you. I\'ll work tirelessly to eliminate the unique danger posed by the handful of too-big-to-fail banks. And while I\'m doing that, I\'ll finally bring real enforcement and oversight to the federal governmentto agencies and departments like the Department of Justice, Securities and Exchange Commission, Federal Reserve, Commodity Futures Trading Commissionso that they start doing the job the American people expect them to do and stop sitting on their hands.If youand your megabankswhich we, the American taxpayer, saved want to begin to restore the confidence in your leadership, you need to start by saying two things: ""we\'re sorry"" and ""thank you.""Then, you have to do the right things: stop your war on financial reform, start following the law, and end your highest-risk, most dangerous activities so that your megabanks are in fact no longer too-big-to-fail.'"
Martin O'Malley,D,p,"July 25, 2015",b'Press Release - Congress Needs to Act on Gun Reform',"b'THIS WEEK, we again watched in horror as more images of gun violence flashed across our TV and computer screens.On Thursday, two people were killed at a movie theater in Lafayette, La. Last week, five service members were killed in Chattanooga, Tenn. And last month, nine parishioners were killed in Charleston, S.C.  solely because of their skin color.During the first 204 days of 2015, there have been 204 mass shootings: a mass shooting for every day of the year.These tragedies aren\'t isolated incidents or even ""accidents"" as some have called them  they\'re part of a full-blown epidemic.We cannot let this become the new normal. As we mourn for the lives cut short  for the victims and the loved ones they leave behind  we can\'t just sit by and wait for another tragedy to happen again.We need comprehensive gun safety laws to save lives.This is where we should start: The federal government should limit the sale of firearms to tightly regulated, licensed dealers. That means closing the ""gun show loophole"" once and for all, and banning unlicensed private individuals from selling guns.We should also impose greater restrictions on what, to whom, and where dealers can sell guns. That means banning the sale of assault weapons, increasing inspections, and establishing a national gun registry to help law enforcement track down dangerous criminals. It also means requiring gun owners to secure and safely store all firearms in their homes.In Maryland, we implemented some of the toughest measures in the nation to crack down on gun violence. The reforms we put in place included required licensing, fingerprinting, background checks, and safety training. We ensured that these requirements applied to all buyers, whether they were acquiring a gun from a dealer, a secondary sale, or as a private gift.We took action to keep guns off the street and make them less deadly. We banned the sale of assault weapons and limited the size of magazines. And, if a firearm was lost or stolen, we required it to be reported immediately to law enforcement.Our goal in Maryland, as it should be for the nation, was to reduce mass shootings and keep guns out of the hands of criminals.This wasn\'t easy, and we didn\'t get it done on the first try. It took six years  from 2007, when I first supported an assault weapons ban, until 2013  for us to get this done. I faced strong opposition even from members of my own party. Legislators faced threats from the NRA and saw 2,000 gun-rights advocates flood the halls of the Maryland General Assembly.The same debate is playing out in Congress today. While the public strongly backs common-sense gun safety reforms, Congress has refused to act on them.It\'s no surprise: With millions of dollars from the gun industry and an astronomical number of lobbyists, the National Rifle Association has been able to silence members of Congress who privately support these reforms. Their fear of retribution has led them to block even the most basic gun safety reforms.Stopping the preventable deaths of American citizens should not be a partisan issue, or the purview of special interests. These members of Congress need to find the courage to do the right thing, without fear of the NRA\'s clout, come next election.It\'s not enough just to ""have the conversation."" It\'s time for actual leadership and action.Martin O\'Malley, former governor of Maryland, is a Democratic candidate for president.'"
Martin O'Malley,D,p,"July 27, 2015",b'Press Release - A Jobs Agenda for our Renewable Energy Future',"b'1. A Complete Transition to Renewable Energyand an End to our Reliance on Fossil Fuels by 2050We can\'t address our climate challenge without ending our reliance onfossil fuels  full stop. I would take aggressive executive actionand fight for legislation to slash emissions and put our nation ontrack to be powered by 100% renewable energy within 35 years.As President, I would fight for federal legislation for a cap oncarbon emissions from all sources, with proceeds from permits returnedto lower- and middle-class families, and invested in job transitionassistance and the new Clean Energy Jobs Corps.On Day One, I would reject projects like Keystone XL, deny new permitsfor drilling in Alaska, Antarctica, and off our coasts, and increaseroyalties and emissions fees for fossil fuel companies currentlydrilling on federal lands, investing the proceeds in jobs and skillstraining.I would also make sure we keep domestically produced oil and gas inthe U.S., instead of selling it abroad  unless there is a clearstrategic security rationale.I would increase royalties and emissions fees for fossil fuelcompanies currently drilling on federal lands, and invest the proceedsin jobs and skills training.I would root out subsidies for fossil fuels, while extendingproduction and investment tax credits for renewable energy for thelong term. Taxpayer subsidies for fossil fuel companies total $4billion a year, even as the biggest oil companies reap $90 billion inannual profits.And I would make sure federal agencies do all they can to protectpublic health and the environment by:Requiring the federal fleet to be subject to low- or zero-emissionspurchasing agreements. Our federal fleet of 250,000 vehicles consumesmore than $450 million gallons of gasoline and diesel fuel every year.Fuel costs saved should be reinvested in clean energy deployment andjobs.Directing the Environmental Protection Agency to take aggressiveaction to limit greenhouse gases, expanding rules to other largesources of emissions beyond power plants.Directing the Environmental Protection Agency to adopt azero-tolerance policy for methane leaks from current oil and gasproduction, which waste $1.8 billion annually, while exacerbatinggreenhouse gas pollution.2. An Aggressive Agenda to Double Energy Efficiency Within 15 Years To Waste Less Energy and Create More JobsIf we waste less energy, we can create more jobs  while savingAmericans real money on energy costs and protecting our environment.Maximizing energy efficiency in buildings alone could eliminate theneed to increase our national electricity generation capacity.That\'s why I would set a national goal of doubling our energyefficiency within 15 years.On Day One, I would direct the EPA and Departments of Defense andTransportation to set strong efficiency standards, including settingstrict ""MPG"" standards for new buildings. And I would require energycosts to be up-front and transparent to tenants and purchasers.And I would retrofit federal buildings to the highest efficiencystandards and require new federal buildings to be net-zero. Thefederal government owns and manages nearly 900,000 buildings, morethan any other entity. And building retrofits out-perform investmentsin new gas and oil exploration as a form of jobcreation or economicstimulus by 3 to 1.3.Renewed Investment in the Physicaland IntellectualInfrastructure to Power a Clean Energy EconomyNew technologies have put a clean energy, energy independent futurewithin reach. It is up to us to develop and deploy the technologieswe\'ll need to get there.First, I would support a Clean Energy Financing Authority tofacilitate clean energy infrastructure projects, efforts to increaseefficiency, and resiliency upgrades in communities nationwide. I wouldalso require all federally funded infrastructure projects to meetclimate resiliency standards.As part of my agenda, modernizing our electric grid would be afirst-order priority. Our electric grid must evolve to supportlocalized, renewable energy generation, reduce electricity waste, and increase security from sabotage or attack. Power outages are up 285%over the last 30 years, costing businesses as much as $150 billioneach year, and renewable energy sources remain unconnected.I would also increase our investment in basic clean energy research sothe U.S. can reclaim the lead on energy innovation, includingadvancing development, deployment, transmission, storage for renewableenergy, and managing demand more effectively.4. A New Clean Energy Job Corps To Rebuild, Retrofit, and Restore our Communities and EnvironmentClean, renewable energy is the biggest business and job creationopportunity we\'ve seen in the last hundred years. Compared with thefossil fuel industry, the renewable energy industry creates more jobsfor each unit of electricity generated. And clean energy jobs arelong-term, good-paying opportunities.That\'s why I would create a new Clean Energy Jobs Corps to helprealize our transition to a clean energy economy. The Clean EnergyCorps would partner with communities to retrofit buildings to be moreenergy efficient, improve local resiliency, create new green spaces,and restore and expand our forests so they can absorb more greenhousegases.In addition, I would also work with industry to help meet currentskills and employment needs that the current labor market isn\'tsufficiently supplying, like new utility workers and cybersecurityexperts.'"
Martin O'Malley,D,p,"August 4, 2015",b'Press Release - Why We Need a Constitutional Amendment to Secure the Right to Vote',"b""Many Americans believe they have a constitutional right to vote, but the U.S. Constitution guarantees no such right explicitly. While the 14th Amendment provides some protection, it is not comprehensive and has left many Americans vulnerable to Republican efforts to restrict the right to vote:In 2014, Republican legislators in 29 states introduced more than 80 bills to require a photo ID, make voter registration more difficult, reduce early voting opportunities, and make it harder for students to vote.As a result, a 2014 report found that voter ID laws in 32 states stood to keep as many as 23 million Americans from successfully voting.Millions of Americans who voted in the last election are at risk of being turned away from the polls because of restrictive voting laws that require a photo ID, eliminate early voting, and make it harder to register.To address this voter suppression, progressive leaders in Congress introduced legislation that would amend the U.S. Constitution to explicitly guarantee the right to vote. The legislation's text is simple and straightforward:SECTION 1: Every citizen of the United States, who is of legal voting age, shall have the fundamental right to vote in any public election held in the jurisdiction in which the citizen resides.SECTION 2: Congress shall have the power to enforce and implement this article by appropriate legislation.Governor O'Malley believes that nothing is more important in our sacred democracy than the right to vote. As governor, he made it easier  not harder  for Marylanders to vote. He signed a bill restoring voting rights to more than 50,000 people with felony records, expanded early voting and allowed same-day registration. He even revolutionized Maryland's voter registration process by creating an online system.Passing a constitutional amendment that enshrines this fundamental right will give U.S. courts the clarity and authority they need to strike down Republican efforts to suppress the vote. The proposed amendment would set a high legal bar to defend against attempts to disenfranchise eligible voters, and empower Congress to enact strong electoral standards nationwide.Amending the Constitution is hard, but voting shouldn't be. Our current laws have failed to protect this fundamental right for too many people.That's why on the week of the 50th anniversary of the Voting Rights Act...GOVERNOR O'MALLEY IS CALLING FOR A RIGHT-TO-VOTE AMENDMENT."""
Martin O'Malley,D,p,"September 1, 2015","b""Press Release - About Secretary Clinton's Emails...""","b""I saw this email yesterdaysomething Secretary Clinton sent Senator Mikulski back in 2010and was flattered. Check it out:Here's the thing: I didn't win in Maryland by acclamation. I won because of supporters like you. I won because we fought for progressive changeand guess what: we passed marriage equality, passed the DREAM act, and raised the minimum wage. We made progress where it counts, and I'm happy to see Secretary Clinton thought so, too.Democrats are not going to win THIS election by acclamation either. We need more debates to get our positions on the issues in front of voters. As the Republicans malign our President's record of achievements, denigrate women and immigrant families, and double down on trickle-down, we respond with crickets, tumbleweeds and a cynical move to delay and limit our own party debates.Add your name if you agree: we need debate.Thanks for standing with this campaign."""
