Candidate,Party,Type,Date,Title,Speech
Marco Rubio,R,p,"April 13, 2015",Press Release - Marco Rubio's New Website,"What will it take to get YOU involved?The new Marco Rubiowebsite is being launched today with two goals in mind:1. To talk about the big issues facing our nation and the solutions that can rebuild the American Dream.2. To recruit, organize and activate a team of conservatives with can-do spirit who are willing to do the hard work it will take to turn our nation around.Don't see an issue that you care deeply about or want to know my opinion on? Don't worry. This website will be updated every single day with new content for us to discuss. We will also be providing new tools for you to spread the word both online and offline.Please don't forget to also join the conversation on Facebook and Twitter.Also connect directly with our grassroots staff on Twitter.Will you rise to the challenge and take back our legacy as the only nation on Earth that offers unrestricted opportunity to all?"
Marco Rubio,R,p,"April 15, 2015","Press Release - Ready for ""Yesterday"" to be behind you?","On Sunday, a candidate from yesterday promised to take us back to yesterday.I believe this election is a generational choice about what kind of country we will be.Are you ready to move beyond yesterday?"
Marco Rubio,R,p,"April 16, 2015",Press Release - This is how families will prosper under the Rubio-Lee tax plan,"To create rapid economic growth, we need to make America the best place in the world to do business and not just create more jobs, but create more, good paying jobs.On the personal side, we want to help families who are raising children because they are our future tax payers. Families will receive a tax credit for their children in order to save Social Security and Medicare for the next generation.The current tax code penalizes too many Americans and we are trying to simplify it to make our families and our country stronger. Watch this clip from Fox and Friends for more about the Rubio-Lee Tax Plan:"
Marco Rubio,R,p,"April 18, 2015",Press Release - The Second Amendment Doesn't Have an Expiration Date,"People say that the Second Amendment doesn't apply to us in the way the Founding Fathers intended. The genius of our Founders doesn't have an expiration date.American strength requires our leaders and presidents to execute their responsibility to protect our nation. Strong defenses on the national and personal level are a means of preventing violence, not promoting it.Watch my speech from the 2015 NRA-ILA leadership forum for more:"
Marco Rubio,R,p,"April 20, 2015","Press Release - Stop ISIS Terrorists Now, Before It's Too Late","America must show leadership and help defeat ISIS(The following piece first ran on CNN.com on June 27, 2014)As the terrorist group the Islamic State of Iraq and Syria (ISIS) continues to capture and control more territory in Iraq and Syria, it is important to realize what is at stake in the region and for the American people.The challenge that ISIS poses is not just to Iraq's stability but also to U.S. security. ISIS is a terrorist group with their own army and bank account that has a clear and growing ability to conduct terrorist attacks against the Iraqi government, Americans and U.S. interests, and even the U.S. homeland.ISIS, although loosely affiliated with al Qaeda, is in many respects even more extreme in its methods and its brutality than the terrorists who plotted and carried out 9/11.Although until now ISIS has focused its military goals on Syria and Iraq, its ranks include thousands of jihadists who have streamed into Syria and now into Iraq from around the globe as well as known terrorists who have been released or freed from Iraqi prisons.ISIS's goal is to secure its hold over large swathes of territory in Syria and Iraq, to establish an Islamic state or ""caliphate"" that stretches across the heart of the Middle East.As we have learned in the past, terrorists seek safe havens from which to operate, often in failed or failing states. They use this territory to train and equip themselves, raise funds and plot attacks.In addition to the threat to the U.S. homeland, we also need to be concerned that if Iraq begins to fragment, the resulting chaos and instability will ripple throughout the region.ISIS has sown incredible instability in Syria and is now seeking to do the same in Iraq. If we allow ISIS to spread further, their next targets will be U.S. allies and partners already under sufficient strain from the ongoing conflict in Syria, such as Jordan and even Saudi Arabia.We have an imperfect partner in Iraqi Prime Minister Nuri al-Maliki, who has shown himself unable to govern inclusively. We need to make clear to Baghdad that significant U.S. assistance will not be possible unless a national unity government is formed that does not include al-Maliki.Iran has already entered the fight on behalf of the al-Maliki government in Baghdad. But if we delegate this problem to Iran, we are likely to see the creation of a Shiite rump state that would effectively become an Iranian proxy and extend Iran's reach and influence from the Gulf of Oman to the Mediterranean Sea.So, what should we do?First and foremost, we need to move now to degrade ISIS's capabilities. The President's decision to send 300 advisers to Iraq is a good first step, but their ability to deter ISIS will be limited unless we eventually engage in airstrikes to target their leaders as well as the supply lines that they use to transfer weapons and fighters between Syria and Iraq. We know where these supply lines are, we should not hesitate to halt the ISIS resupply to their strongholds in Anbar, Ninawa and Salah ad-Din.Second, we also need to understand that our lack of an effective Syria strategy has allowed ISIS to take hold and flourish in the region.ISIS has been able to develop its capabilities, increase its ranks, and obtain combat experience for its fighters over the last 18 months in northern Syria.We need to begin to tackle the root causes of the problem in Syria by overtly arming the moderate Syrian rebels that are fighting ISIS in that country even as we simultaneously tackle the challenge they currently pose to Iraq.The U.S. and allies should consider additional counter terrorism measures in Syria, perhaps working with regional partners. This is all a response to the same problem, and must be part of a unified strategy.The President's long overdue announcement on Thursday of an overt plan to train and equip moderates in the opposition is a welcome development, but we need to do much more to finally deal with the threat that the Syrian conflict poses to regional stability and ultimately, to U.S. security.Third, as ISIS has gained ground in Iraq, its wealth and ability to make money have increased. We need to stop their ability to sell the Syrian and Iraqi oil they attempt to market to the outside world. We also need a new diplomatic strategy to counter ISIS funding and support.Unfortunately, some of our partners in the Gulf have contributed to this problem. Others in the region have turned a blind eye to foreign fighters flocking to the fight. This needs to end.Finally, our partners in the region need our support. Jordan deserves special attention and assistance. Jordan is already dealing with an influx of hundreds of thousands of refugees from the conflict in Syria. Jordan is a close partner of the United States and a likely target of ISIS's attention. In recent days, the group captured the border crossing between Iraq and Jordan.The United States should find ways to make clear that the United States will defend Jordan's security, including militarily if necessary.Some will argue that the challenges faced by Iraq or countries such as Jordan are none of our business. That we have spent too many years, lives, and dollars trying to make Iraq and the broader Middle East a better place.None of the options before us are ideal, but the question is whether we take action against ISIS now or deal with the consequences later here on U.S. soil.The stakes are too high for us to continue to ignore this problem."
Marco Rubio,R,p,"April 21, 2015",Press Release - Watch: Marco Rubio Answers His Top Google Searches,"Is he a twin? Is he a Democrat?Last week, Vocativ.com reported on the top Google searches for Marco Rubio and Hillary Clinton. During his first visit to New Hampshire as a candidate this weekend, we stopped Marco to ask him to answer some of your frequently Googled questions.Q. Is Marco Rubio a Twin?A. No, but we often wish he could be in two places at once.Q. Is Marco Rubio a Democrat?A. Nope"
Marco Rubio,R,p,"April 24, 2015",Press Release - DEMAND Better Treatment of Our Veterans,"We've all seen the news and read the startling reports, and there is no other way to say it the VA has FAILED our veterans, and is continuing to fail them every day.That's why Marco led the fight in the Senate last year to pass the VA Management Accountability Act. It was based on a pretty simple premise from the private sector  if someone isn't doing their job at the VA, they can be fired.Nothing could be simpler. We need to make sure those directly responsible for the terrible performance of the VA can be held accountable.Unfortunately, the VA isn't using the law as intended, and Senator Rubio is continuing to fight for more accountability and better results from the VA  because nothing is more important than taking care of our veterans!"
Marco Rubio,R,p,"April 24, 2015",Press Release - Rubio: Tax System Clouds Our American Dreams,"Americans Spend 114 Days Of The Year Working For The Government, And That's UnacceptableWhile working long hours in his job as a banquet bartender, my father found motivation in the idea that his efforts would give my siblings and me the chance at a life better than his own. He knew every dollar he brought home would go toward providing a happier childhood and a better future for his children. For him, we were the ""why"" of his work.I believe every American has a ""why"" for the work they do each day. Every one of us can point to something  or someone  and say: that is why I get up each morning to tend this bar, or staff this reception desk, or work the floor of this factory. These motivators form the basis of our American Dreams.As much as these dreams vary from person to person, we can all agree that funding a growing government is not our primary reason for working hard. But this Friday, as we mark Tax Freedom Day, we have a jarring illustration of just how much time we spend working to finance government rather than our own dreams.Tax Freedom Day is the first day of the year people have earned enough to pay their full annual tax burden. As of Friday, Americans have earned a combined $4.8 trillion in income since January 1st  the exact amount of state, local and federal taxes we will owe for 2015.Read the full Op-Ed at The Daily Caller here."
Marco Rubio,R,p,"April 27, 2015",Press Release - These Are the Biggest Issues Facing Our Generation,"What kind of country will we be?At the turn of the 19th century, a generation of Americans harnessed the power of the Industrial Age and transformed this country into the leading economy in the world. And the 20th century became the American Century.Now, the time has come for our generation to lead the way toward a new American Century.If we reform our tax code, reduce regulations, control spending, modernize our immigration laws and repeal and replace ObamaCare, the American people will create millions of better-paying modern jobs.If we create a 21st century system of higher education that provides working Americans the chance to acquire the skills they need, that no longer graduates students with mountains of debt and degrees that do not lead to jobs, and that graduates more students from high school ready to work, then our people will be prepared to seize their opportunities in the new economy.If we remember that family  not government  is the most important institution in society, that all life deserves protection, and that all parents deserve to choose the education that's right for their children, then we will have a strong people and a strong nation.And if America accepts the mantle of global leadership, by abandoning this administration's dangerous concessions to Iran, and its hostility to Israel; by reversing the hollowing out of our military; by giving our men and women in uniform the resources, care and gratitude they deserve; by no longer being passive in the face of Chinese and Russian aggression; and by ending the near total disregard for the erosion of democracy and human rights around the world; then our nation will be safer, the world more stable, and our people more prosperous.This election is not just about what laws we will pass. It is a generational choice about what kind of country we will be."
Marco Rubio,R,p,"April 27, 2015",Press Release - Rubio: Students Deserve More Transparency,"What will I earn with this degree at this college?In Waukee, Iowa this weekend, Marco Rubio reiterated his proposal to ensure students and their families get all of the facts about their degree of choice at a given college or university before they take out student loans:""I believe that before any of our young people take out student loans, that school has to tell you how much you can expect to make when you graduate from that degree from that school so people can decide whether it's worth borrowing tens of thousands of dollars to major in basket weaving.""Struggling to repay student loans is a challenge Marco knows about first hand:""Each semester I would sign the promissory note borrowing more money. I never sat down to calculate how much I could expect to make once I graduated and whether it would be enough to afford my loan payments. There was no source to provide me with that information either.""Finally, in 1996 I graduated from law school. I had a Juris Doctor in one hand and over $100,000 in loans in the other. Then a few months later, the bills began to arrive.""My first job paid well for a young attorney. I was making over $50,000, which was more than either of my parents had ever made. I thought I was rich. But I was living with my parents and paying them rent. I was trying to save for my wedding and hopefully to buy a house. And when the $1500 monthly bills for my loans started coming in, I realized I couldn't pay them.""So I did deferment. And forbearance. I paid only interest for a while. But the loans quickly became my single largest expense. I remember looking at the coupon book for one of them and realizing that at the pace I was paying these things, I wouldn't pay them off until I was over 50.""The problem is that we are trying to prepare people for the new economy using a higher education system built for the old economy. As a result, many high-skilled, high-paying industries suffer from a shortage of labor, while too many low-paying industries suffer from a surplus.In the coming decade, 63 percent of jobs will require postsecondary training.If current education trends continue, we will fall short of filling these skilled positions by 300,000 people per year.Nationally, majors such as business, liberal arts, and hospitality have underemployment rates at or above 50 percent.Engineering, health services and education all have underemployment rates less than 25 percent.Students and their families need to be equipped with the information necessary to make well-informed decisions about which majors at which institutions are likely to yield the best return on investment. This is why Marco has authored and championed the ""Student Right to Know Before You Go Act,"" which aims to give students reliable data on how much they can expect to make versus how much they can expect to owe.Summarized from remarks of Marco Rubio during ""Making Community Colleges Work"" at Miami-Dade College."
