Candidate,Party,Type,Date,Title,Speech
Bernie Sanders,D,s,"April 30, 2015",Statement Announcing Candidacy for President,"I am writing to inform you that I will be a candidate for President of the United States. I ask for your support.For many months I have been traveling from coast to coast across our country, and have had the opportunity to meet with thousands of good, hard-working, and remarkable people. Like you and me, they are deeply concerned about the future of our country.They wonder why they are working longer hours for lower wages. They worry about whether their kids will be able to afford college or get decent jobs. They fear that they may not have the savings to retire with dignity and security.The challenges facing our country are enormous.It's not just that, for 40 years, the middle class has been disappearing. It's that 99 percent of all new income is going to the top 1 percent, and the grotesque level of wealth and income inequality today is worse than at any time since the late 1920s. The people at the top are grabbing all the new wealth and income for themselves, and the rest of America is being squeezed and left behind.The disastrous decision of the Supreme Court in the Citizens United case and in other related decisions is undermining the very foundations of American democracy, as billionaires rig the system by using their Super PACS to buy politicians and elections.And the peril of global climate change, with catastrophic consequences, is the central challenge of our times and our planet.The middle class in America is at a tipping point. It will not last another generation if we don't boldly change course now.After a year of travel, discussion and dialogue, I have decided to be a candidate for the Democratic nomination for President. But let's be clear. This campaign is not about Bernie Sanders. It's about a grassroots movement of Americans standing up and saying: ""Enough is enough. This country and our government belong to all of us, not just a handful of billionaires."""
Bernie Sanders,D,s,"July 9, 2015","Statement by Senator Bernie Sanders: Bush 'Does Not Seem to Understand Our Economy,'","WASHINGTON  Sen. Bernie Sanders on Thursday reacted to former Florida Gov. Jeb Bush's statement on Wednesday that ""people need to work longer hours"" to improve the economy.""Unfortunately,"" Sanders said, ""Gov. Bush does not seem to understand what is happening in our economy today. The sad truth is that because the middle class has declined over the last 40 years, while almost all new income and wealth have gone to the people on top, Americans already work the longest hours of any people in the western industrialized world. In fact, 80 percent of working men work longer than 40 hours a week. What we need now is an economy that provides decent wages and income for the middle class, not demands that people work even longer hours than they currently do.""Bush's statement, which he later reportedly attempted to walk back, came during an editorial board with the New Hampshire Union Leader."
Bernie Sanders,D,s,"July 14, 2015",Statement by Senator Bernie Sanders Welcoming Secretary Clinton to Senate Caucus Meeting,"WASHINGTON  Saying he looks forward to an issue-oriented campaign for the Democratic Party presidential nomination, U.S. Sen. Bernie Sanders on Tuesday welcomed former Secretary of State Hillary Clinton to a meeting of the Senate Democratic Caucus.""I have known Secretary Clinton for 25 years, since she was first lady. I served with her in the Senate. I like and respect Hillary Clinton,"" Sanders said. ""But there are differences of opinion that we have which should be the basis for a serious discussion.""""The American middle class continues to disappear while almost all of the new wealth and income is going to the top 1 percent. I look forward to an issues-oriented debate with Secretary Clinton as to the best way forward to help working families in America.""Sanders highlighted several issues on which he and the former U.S. senator from New York have different views.""I have strongly opposed disastrous trade agreements which have led to the loss of millions of decent-paying jobs and I oppose the proposed Trans-Pacific Partnership. Secretary Clinton has a different view,"" Sanders said.""I strongly opposed the war in Iraq. Secretary Clinton, as a senator, voted for it.""I voted against the so-called Patriot Act which authorized the National Security Agency to collect the telephone and e-mail records of millions of Americans. Secretary Clinton voted for it.""Because of concerns about climate change, I strongly opposed the proposed Keystone XL pipeline. Secretary Clinton has not voiced an opinion.""I helped lead the effort to stop the deregulation of Wall Street. I believe the biggest banks should be broken up and that Glass-Steagall financial regulations should be reinstated. To the best of my knowledge, she isn't for either one.""I believe we should raise the minimum wage to $15 an hour and have introduced legislation to create 13 million jobs by a $1 trillion investment in our crumbling infrastructure. Secretary Clinton has been unclear.""I have offered legislation to make public colleges and universities tuition-free and would pay for it by a transaction fee on Wall Street speculators. Her position is unclear."""
Bernie Sanders,D,s,"July 21, 2015",Statement by Senator Bernie Sanders on the Texas Police Video,"WASHINGTON  Sen. Bernie Sanders issued the following statement tonight after a police dashboard video was released showing the arrest of the late Sandra Bland:""This video of the arrest of Sandra Bland shows totally outrageous police behavior. No one should be yanked from her car, thrown to the ground, assaulted and arrested for a minor traffic stop. The result is that three days later she is dead in her jail cell. This video highlights once again why we need real police reform. People should not die for a minor traffic infraction. This type of police abuse has become an all-too-common occurrence for people of color and it must stop."""
Bernie Sanders,D,s,"July 23, 2015",Statement by Senator Bernie Sanders on Comments by Jeb Bush on Medicare,"WASHINGTON  Responding to Jeb Bush's assertion that ""we need to figure out a way to phase out"" Medicare, Sen. Bernie Sanders today issued the following statement:""It is an indication of how far right-wing the Republican Party has become when its 'moderate' candidate, Jeb Bush, at a forum sponsored by the billionaire Koch brothers, is now talking about phasing out Medicare. This follows Bush's statement that we should raise the retirement age for Social Security.""As we celebrate the 50th anniversary of Medicare, it is important that we defend this enormously important program rather than talk about ending it.""Medicare provides health care to 51 million American seniors and people with disabilities and has saved the lives of countless Americans.""Further, as a result of the Affordable Care Act, the finances of Medicare have been significantly improved and it is now fully funded for the next 15 years through 2030.""Our goal as a nation should be to join the rest of the industrialized world and guarantee health care to all Americans, not end a highly-successful program which protects seniors and the disabled."""
Bernie Sanders,D,s,"August 3, 2015",Statement by Senator Bernie Sanders on Obama Climate Change Initiative,"BURLINGTON, Vt.  U.S. Sen. Bernie Sanders, whose presidential campaign was endorsed over the weekend by Friends of the Earth, on Monday applauded President Barack Obama's proposal on climate change and issued the following statement:""I applaud President Obama for recognizing that climate change is the great planetary crisis facing our country and the world. I support his plan to cut greenhouse gas emissions from coal-fired power plants and to promote more wind and solar power and other sources of renewable energy.""It is time for Republicans in Congress to stop obstructing efforts to transform our energy system away from fossil fuels and toward energy efficiency and renewable energy sources.""I understand that Republicans, including many of those running for president, are dependent on the Koch brothers, oil companies and other fossil-fuel contributors. Maybe for once they can overcome the needs of their campaign contributors and worry instead about the planet they are leaving their kids and grandchildren and young people all over the world."""
Bernie Sanders,D,s,"August 5, 2015",Statement by Senator Bernie Sanders Accepting an Invitation to Speak at Liberty University,"WASHINGTON  Sen. Bernie Sanders issued the following statement tonight on his acceptance of an invitation from Liberty University to speak at the Sept. 14 convocation at the school in Lynchburg, Virginia:""Liberty University was kind enough to invite me to address a convocation and I decided to accept. It goes without saying that my views on many issues  women's rights, gay rights, education  are very different from the opinions of some in the Liberty University community. I think it is important, however, to see if we can reach consensus regarding the grotesque level of income and wealth inequality in our country, about the collapse of the middle class, about the high level of childhood poverty, about climate change and other issues.""It is very easy for a candidate to speak to people who hold the same views. It's harder but important to reach out to others who look at the world differently. I look forward to meeting with the students and faculty of Liberty University."""
Bernie Sanders,D,s,"August 6, 2015",Statement by Senator Bernie Sanders on the DNC Primary Schedule,"WASHINGTON  Sen. Bernie Sanders issued the following statement today on the Democratic National Committee's announcement of the 2016 primary debate schedule:""I am disappointed, but not surprised, by the debate schedule announced by the Democratic National Committee. At a time when many Americans are demoralized about politics and have given up on the political process, I think it's imperative that we have as many debates as possible  certainly more than six. I look forward to working with the DNC to see if we can significantly expand the proposed debate schedule."""
Bernie Sanders,D,s,"August 8, 2015",Statement by Senator Bernie Sanders on Seattle Protesters,"SEATTLE  Sen. Bernie Sanders issued the following statement today after two demonstrators blocked him from addressing an event hosted by an organization supporting Social Security and Medicare:""I am disappointed that two people disrupted a rally attended by thousands at which I was invited to speak about fighting to protect Social Security and Medicare. I was especially disappointed because on criminal justice reform and the need to fight racism there is no other candidate for president who will fight harder than me."""
Bernie Sanders,D,s,"September 7, 2015",Statement by Senator Bernie Sanders on Obama Action on Paid Sick Leave,"AMHERST, N.H.  U.S. Sen. Bernie Sanders on Monday issued the following statement applauding President Barack Obama for issuing an executive order requiring paid sick leave for employees of federal contractors:""The president's executive order on paid sick leave is exactly the right thing to do. Now that paid sick leave has been extended to hundreds of thousands of Americans who work for federal contractors, Congress has got to extend these rights to all workers.""We have got to end the international embarrassment of the U.S. being the only major country on earth that does not guarantee paid leave to workers. Not only do workers need paid sick leave, they also need at least 12 weeks of paid family and medical leave and at least two weeks of paid vacation. In the richest country on earth, no one should force mothers to go back to work days or weeks after giving birth."""
