Candidate,Party,Type,Date,Title,Speech
Rick Santorum,R,p,"June 6, 2011","b""Press Release - Senator Santorum's Speech At The Faith & Freedom Coalition's Conference""","b""On Saturday, June 4th Senator Rick Santorum spoke at the Faith & Freedom Coalition's Conference in Washington DC. You can watch the entire event here. But be sure to watch The Senator speak at the 1h 14m mark."""
Rick Santorum,R,p,"June 7, 2011",b'Press Release - Back Stage With The Santorums',"b'by Elizabeth SantorumYesterday was a big day in the Santorum household. After long months of discernment, my father has decided to run for president of the United States of America. This morning, as I drove my sister Sarah Maria to school, she looked over at me and said, ""Wow. I think I\'m still absorbing how important yesterday was!"" I had to agree. So, I\'ll give a recap of yesterdays ""behind the scenes"" excitement. My Dad spent the morning doing radio and television interviews, while my Mom and I got all six of my siblings ready to go. As you can imagine, getting everyone ready is never an easy task. From ""Oh no, did you pack the hairbrush?"" to ""Patrick, those had better not be grass stains on your khakis,"" let\'s just say that we averted several minor crises. Bella is often the easiest to get ready because she always looks adorable in whatever she\'s wearing. Her sweet smile and peaceful demeanor are a constant source of joy for our family. Onceat the Somerset Courthouse, many friends, old and new, greeted us. The Courthouse is beautiful! You can see its regal dome from the turnpike as you pass the Somerset exit. Before taking the stage, my Father led our family in prayer in a quiet room in the courthouse. After that, we were ready to go. The crowd of hundreds of people was overwhelmingly enthusiastic and supportive. My Mom introduced my Dad, sharing with the crowd the love and respect she has for her husband of 21 years. Then, my Dad stepped up to the podium. The energy was kinetic, nearly tangible. It was living proof that what my Dad so wisely says is true: ""In 2008 America was looking for a president that they could believe in. Now, Americans want a president who believes in them."" Yesterday, my Dad showed that he believes in America and in her people. So, here we go. We are out of the gates and into the race  and what a crazy journey it will be! Everything could not have gone better and, as a family, the Santorums send a huge thank you to everyone who worked so hard to make this day possible and to everyone who continues to support us along our journey. God bless you. To close, I echo the words of Ronald Reagan from his own presidential announcement speech over thirty years ago  ""A troubled and afflicted mankind looks to us, pleading for us to keep our rendezvous with destiny; that we will uphold the principles of self-reliance, self-discipline, morality, and--above all--responsible liberty for every individual that we will become that shining city on a hill. I believe that you and I together can keep this rendezvous with destiny."" Our time is not unlike his. Freedom is once again in jeopardy. Now, my Dad calls upon Americans to rise again, to keep our own ""rendezvous with destiny."" For as someone once said, great moments are born of great opportunity. Now, as a nation, we are given a great opportunity, which I am sure will be turned into a great moment in our history. '"
Rick Santorum,R,p,"June 8, 2011",b'Press Release - Santorum Pledges to Protect Taxpayers',"b'Signs ATR Presidential Taxpayer Protection PledgeManchester, NH - Former Senator Rick Santorum (R-PA) was joined by Americans for Tax Reform President Grover Norquist at Central Paper in Manchester, NH today as he signed the Taxpayer Protection Pledge. The ATR Taxpayer Protection Pledge was first created in response to taxpayer fears that some politicians would raise income taxes in the wake of the Tax Reform Act of 1986. As of March 2011, over 230 members of the U.S. House of Representatives and 41 U.S. Senators had signed the pledge. Prior presidential candidates who had signed the Pledge include President George H.W. Bush, Sen. Bob Dole, and President George W. Bush.In signing the Pledge, Senator Santorum commits to ""oppose and veto any and all efforts to increase taxes"" should he be elected President of the United States.""Americans deserve a president who believes in them again, and today I am publicly committing to the American taxpayer that I believe that they know how to better spend their hard-earned money than Washington does,"" said Santorum. ""I have always admired the great work Grover Norquist and the entire Americans for Tax Reform team have done in keeping public officials accountable to their responsibility of being stewards of the People\'s money, and I am anxious for the opportunity to bring fiscal responsibility back to Washington.""""I am delighted that Senator Santorum is continuing his long-standing commitment to the American taxpayer. This commitment from candidates for President is more important now than ever, as the Obama Administration has set in motion a dangerous precedent of imposing new taxes on our economy and threatening to allow existing tax rates to expire should they be re-elected,"" said Grover Norquist.'"
Rick Santorum,R,p,"June 8, 2011",b'Press Release - Santorum Public Schedule for June 8 - 11',"b'Verona, PA- Former Senator Rick Santorum (R-PA) will have the following public schedule June 8 - 11. Details of his open press events are below and all times are local.Wednesday, June 8:7:40pm ET: Senator Santorum will be a guest on ""John King USA"" on CNN. This interview was postponed from last night due to breaking news.Thursday, June 9:6:25am ET: Senator Santorum will be a guest on the Curtis Silwa show on AM 970 The Apple in New York City. To listen live, please tune in to: http://www.am970theapple.com/.7:05am ET: Senator Santorum will be a guest with Tony Beam on Christian World View Today in Greenville, SC. To listen live, please tune in to: http://www.christiantalk660.com/.7:35am ET: Senator Santorum will be a guest on Jeff Katz\'s Radio Show on Talk 1200 in Boston. To listen live, please tune in to: www.talk1200.com.9:00am ET: Senator Santorum will be a guest on MSNBC\'s ""The Daily Rundown.""9:45am ET: Senator Santorum will be a guest on the Frank Beckmann show on Newstalk WJR in Detroit, MI. To listen live, please tune in to: http://www.wjr.com.10:00am ET: Senator Santorum will be a guest on Bulldog Live on WTPL 107.7 FM in Concord, NH.10:15am ET: Senator Santorum will be a guest on New Hampshire Now with Chris Ryan on WKXL 1450 AM radio in Concord, NH.2:35pm ET: Senator Santorum will be a guest with Rocky D of WTMA in South Carolina. To listen live, please tune in to: http://www.wtma.com/.5:00pm ET: Senator Santorum will appear on ""The Willis Report"" on the FOX Business Channel.Saturday, June 11:7:20am CT: Senator Santorum will appear on ""FOX and Friends"" on the FOX News Channel live from Des Moines, IA.8:30am CT: Senator Santorum will meet-and-greet attendees of the NICHE Conference for Iowa homeschooling families in Des Moines, IA.Location:HyVee Hall730 3rd StreetDes Moines, IA11:00am CT: Senator Santorum will speak at the Grand Opening of his Iowa campaign headquarters in Urbandale, IA. Food and beverages will be served for attendees.Location:Santorum for President Iowa Headquarters11306 Aurora AvenueUrbandale, IA'"
Rick Santorum,R,p,"June 8, 2011","b'Press Release - Senator Rick Santorum on ""On the Record""'","b'Watch the video of Senator Rick Santorum from his appearance on ""On The Record"" with Greta Van Susteren on June 7th 2011.Get the transcript here.'"
Rick Santorum,R,p,"June 9, 2011","b'Press Release - Rick Santorum\'s New Radio Ad ""Courage to Fight for America""'",b''
Rick Santorum,R,p,"June 9, 2011",b'Press Release - Senator Rick Santorum on the Jeff Katz Show (Talk 1200)',"b""Listen to Senator Rick Santorum's interview on the Jeff Katz show this morning on TALK 1200 in Boston:Officially kicked off his Presidential Campaign Monday. He took time to called Jeff to talk about: this being his 19th trip to NH; a preview of Monday night's GOP Debate in NH and how he separates himself from the field; and his taxpayer protection pledge.http://www.talk1200.com/cc-common/podcast/single_page.html?podcast=interviews&selected;_podcast=060911jeffKatzSenRickSantorumWEB.mp3#ixzz1On0gCWmh"""
Rick Santorum,R,p,"June 13, 2011",b'Press Release - Santorum Returns to Iowa June 14th',"b""Verona, PA - Former Senator Rick Santorum (R-PA) will return to campaign in Iowa immediately following tonight's CNN/WMUR/Union Leader debate in Manchester, NH. Open press events are noted below and all times are local.Tuesday, June 14th:12:30pm CT: Senator Santorum will be the featured speaker at a meet-and-greet coffee at Robin's Nest Coffee Shop in Denison, IA.Location:Robin's Nest Coffee Shop1328 BroadwayDenison, IA6:45pm CT: Senator Santorum will be the featured speaker at a fundraiser for the Ida County Republican Party. Senator Santorum is scheduled to speak at 7:30pm CT.Location:311 Barnes StreetIda Grove, IA"""
Rick Santorum,R,p,"June 14, 2011",b'Press Release - Santorum Again Proves Strongest to Take on Obama',"b'Manchester, NH - On questions ranging from the economy to social issues and spending to foreign policy, former Senator Rick Santorum demonstrated an understanding and strong ability to communicate solutions to address our country\'s challenges.""While some on the stage tonight preferred to give one-sentence applause lines, Senator Santorum concentrated on giving direct, honest answers that offered not just criticisms of the current administration but real solutions to address our nation\'s most serious challenges. Now more than ever, Americans are looking for a president with the courage to call it like it is and the candor to give honest and forthright answers about how best to solve our nation\'s problems,"" said John Brabender, senior advisor to Senator Santorum. ""Senator Santorum stood firm in his strong support of Chairman Ryan\'s budget plan, and he spoke plainly and clearly about the failures of the Obama administration when it comes to foreign policy. Rick Santorum continues to demonstrate - whether it be in debates, interviews or townhall meetings - that he has the depth of knowledge on the issues that challenge our country and the willingness to speak candidly with the American people about what needs to be done to return our country back on a path to prosperity.""'"
Rick Santorum,R,p,"June 16, 2011",b'Press Release - Santorum to Address Republican Leadership Conference',"b'Updated Public Schedule for June 17 - 18Verona, PA - Former Senator Santorum (R-PA) will address the Republican Leadership Conference 2011 this Friday at 3:30pm CT in New Orleans, LA. In addition to his appearance at the RLC 2011, Senator Santorum will have the following media events. All times are local.Friday, June 17th:8:05am ET: Senator Santorum will appear on Jeff Katz\'s radio show on Talk 1200 in Boston, MA. To listen live, please tune in to: www.talk1200.com.3:30pm CT: Senator Santorum will address the Republican Leadership Conference 2011 in New Orleans, LA. Location:Hilton New Orleans Riverside2 Poydras StreetNew Orleans, LA7:30pm CT: Senator Santorum will appear on Hugh Hewitt\'s nationally syndicated radio show. To listen live, please tune in to: www.wntp.com.Saturday, June 18th:6:15am CT: Senator Santorum will be a guest on ""FOX and Friends"" on the FOX News Channel live from New Orleans.'"
