Candidate,Party,Type,Date,Title,Speech
Donald Trump,R,p,"June 16, 2015",b'Press Release - Donald J. Trump Declares Candidacy for President of the United States',"b'(New York, NY) June 16, 2015Today, Donald J. Trump announced his candidacy for President of the United States of America. Mr. Trump was joined by his immediate family and stood before thousands of supporters to declare his candidacy for the 2016 GOP Presidential nomination.Donald J. Trump said, ""Quite simply, it is time to bring real leadership to Washington. The fact is, the American Dream is dead -- but if I win, I will bring it back bigger and better and stronger than ever before. Together we will Make America Great Again!"" Mr. Trump has frequently used his platform as a notable public figure to advocate for conservative causes and to educate the public on the failures of the Obama administration. Mr. Trump believes in the Free Market, a strong military and our country\'s sacred obligation to take care of our veterans and their families. Mr. Trump has teams based in the early primary states of Iowa, New Hampshire and South Carolina. He will be visiting each of these states beginning with Iowa today, followed by New Hampshire on June 17th, and South Carolina on June 19th.The Donald J. Trump for President Campaign will be headquartered in New York City. For more information please visit DonaldJTrump.com.Press Contact: Hope Hicks 203-273-0226 [emailprotected]'"
Donald Trump,R,p,"June 16, 2015","b'Press Release - Donald Trump: I Would Build a Great, Great Wall on Our Southern Border and Make Mexico Pay For It'","b'The Gateway PunditWhat a Speech!...The Donald says it\'s time to ""Make America Great Again""His big presidential announcement was today at 11 AM ET.""I will build a great wall. And nobody does walls better than me. Very inexpensively. I will build a great, great wall on our southern border and I will have Mexico pay for that wall.""'"
Donald Trump,R,p,"June 16, 2015",b'Press Release - Donald Trump Presidential Announcement',b'Donald TrumpWatch Donald Trump declare his candidacy for President of the United States.'
Donald Trump,R,p,"June 16, 2015","b""Press Release - Markets Jump for Trump: Dow Up 92 Points After Donald Trump's Announcement""","b""The Gateway PunditThe markets responded well to Donald Trump's announcement today. The Dow jumped 92 points after his speech."""
Donald Trump,R,p,"June 16, 2015","b'Press Release - Donald Trump: Obama Is A Horrible Negotiator ""We Got Traitor Bergdahl, They Got 5 Killer Terrorists""'","b'The Gateway PunditDonald Trump says it\'s time to ""Make America Great Again""His big presidential announcement was today at 11 AM ET.Trump BASHED Obama  a horrible negotiator.""Our president doesn\'t have a clue. He\'s a bad negotiator. He\'s the one that did Bergdahl. We get Bergdahl. They get five killer terrorists that everybody wanted over there.""'"
Donald Trump,R,p,"June 16, 2015",b'Press Release - Trump on Hillary: I Was Watching Her Talk About Income Inequality...Have You Looked at Her Donor List?',"b""The Gateway PunditThis is why we love the Donald. Donald Trump destroyed Hillary Clinton tonight with one line.Bill O'Reilly: War on Women. Are you going to walk into that? Right into that?Donald Trump: Well, I laugh when see it. I was watching her talk about income inequality. That can be beaten. All you have to do is take a look at her donor list."""
Donald Trump,R,p,"June 17, 2015","b""Press Release - Donald Trump: Scott Walker Has 'A Lot of Problems'""","b""BloombergWatch: In a wide-ranging interview with Bloomberg Politics, Donald Trump, the GOP's newest presidential candidate, opens up about his insecurities, Republican rivals, and his tiff with Club for Growth."""
Donald Trump,R,p,"June 17, 2015","b""Press Release - Donald Trump Answers Viewers' Questions""","b'Fox NewsBusiness magnate Donald Trump weighs in on his rivals, Hillary Clinton on Hannity.Watch the latest video at video.foxnews.com'"
Donald Trump,R,p,"June 17, 2015",b'Press Release - Donald Trump on What Made Him Run for President',b'Fox NewsOne-on-one with the Republican presidential candidate on Hannity.Watch the latest video at video.foxnews.com'
Donald Trump,R,p,"June 17, 2015",b'Press Release - Donald Trump Speaks at Manchester Rally',"b'WMURFollowing the lead of several candidates in the 2016 presidential race, Donald Trump traveled to New Hampshire the day after announcing his candidacy.Trump spoke for more than an hour at the rally on Manchester Community College. He said politicians are all talk and no action.""The American Dream is dead, but we will bring it back bigger and stronger and more powerfully than ever before,"" Trump said.In his first New Hampshire event since announcing his campaign for the Republican nomination for president on Tuesday, Trump dismissed critics who thought he wouldn\'t run.""\'Why would he run? He\'s got this great lifestyle, he\'s got this wonderful business, wonderful family, why would he do that?\' Because I want to make our country wonderful,"" Trump said.He is taking a hard line on illegal immigration, so hard that protesters showed up at this event, some holding signs that said ""Mexicans are people, not criminals.""""Mexicans, I love Mexicans, they\'re great. I have so many friends, Mexicans,"" Trump said. ""But the people that are coming into our country are, in many cases brutal.""While other White House hopefuls might try to avoid such controversy, Rep. Steve Stepanek, R-Milford, said Trump is an outside-the-box candidate who doesn\'t care what the national media thinks.""It\'s what the average person on Main Street thinks,"" Stepanek said. ""And they\'re warming up to him.""As Trump navigated a crush of admirers and reporters after his speech, News 9 asked the multi-billionaire how much of his own money he would be willing to spend to win.""Many, many millions of dollars,"" Trump said.'"
Donald Trump,R,p,"June 17, 2015","b""Press Release - Donald Trump's Pitch to American Voters""",b'Fox NewsTrump says he wants to make America great again on Hannity.Watch the latest video at video.foxnews.com'
Donald Trump,R,p,"June 17, 2015","b""Press Release - Donald Trump's Straight Talk About His 2016 Presidential Bid""",b'ABC NewsThe real estate mogul made headlines with his 2016 presidential campaign announcement held at Trump Tower in New York City.'
Donald Trump,R,p,"June 17, 2015",b'Press Release - Trump-Mania! Donald Trump Allows Woman on Stage to Touch His Hair',"b'Gateway PunditAt his first campaign stop since announcing his run for President of the United States, Donald Trump allowed a woman on stage to touch his hair.'"
Donald Trump,R,p,"June 17, 2015",b'Press Release - With All Due Respect',"b'BloombergMark Halperin and John Heilemann are joined by chairman and president of The Trump Organization and 2016 presidential candidate Donald Trump on ""With All Due Respect"" on Bloomberg Television.'"
Donald Trump,R,p,"June 18, 2015","b""Press Release - Donald J. Trump Exposes Club for Growth's Shakedown Attempt""","b'Download PDFToday, Donald J. Trump is calling for the immediate resignation of Club for Growth President David McIntosh after a failed attempt to secure $1 million dollars from Mr. Trump.In calling for Mr. McIntosh\'s immediate resignation, Mr. Trump says, ""I am appalled by Mr. McIntosh\'s shameless pandering and blatant shakedown attempt, exposing him and the Club for Growth as a fraud.""Mr. McIntosh met with Mr. Trump and his representatives in New York City at Trump Tower on May 26th. During that meeting he praised Mr. Trump for his business success and talked about the need for someone like Mr. Trump to be in Washington, D.C. He then talked about the Club for Growth and what it is doing. The meeting lasted approximately 30 minutes.One week later, Mr. Trump and political advisor Corey Lewandowski (now campaign manager) received letters (attached) from Mr. McIntosh requesting $1 million dollars of financial support for the Club for Growth. The letter to Mr. Trump states, ""As we both know, it is business owners who create jobs- not the government.""Less than fourteen days after sending his request for the $1 million, and after Mr. Trump did not give money to the Club for Growth and instead declared his candidacy, Mr. McIntosh attacked Mr. Trump, was critical of his candidacy, and said, ""It would be unfortunate if (Mr. Trump) takes away a spot at even one Republican debate.""Lewandowski stated, ""The Club for Growth is the worst of the two-faced hypocrisy of Washington.""This exemplifies everything that is wrong with politics in our country. Club for Growth claims to fight for conservative causes and support Republican candidates who oppose politics as usual, and apparently will say anything in an effort to raise funds. This unfortunate incident is representative of the corruption that persists in Washington, D.C., and politics in general, in the United States.Press Contact: Hope Hicks 203-273-0226 [emailprotected]'"
Donald Trump,R,p,"June 18, 2015",b'Press Release - Donald J. Trump Postpones South Carolina Event',"b'Download PDF(Bluffton, SC) June 18, 2015- Republican presidential candidate Donald J. Trump today announced that he is postponing his scheduled visit to the Lowcountry of South Carolina due to the ""shockingly sad"" events that occurred in Charleston.""The tragic events that occurred on Wednesday evening should be our nation\'s primary focus for the foreseeable future,"" stated Mr. Trump. ""This is a time for healing, not politics."" Mr. Trump, who announced his candidacy for President on Tuesday in New York, is in the midst of a multi-state tour that includes stops in Iowa, New Hampshire, and South Carolina. He was scheduled to appear before a capacity crowd in the residential community of Sun City in Bluffton, South Carolina.""I look forward to returning to South Carolina and continuing our discussion on how we can best move our country forward,"" said Trump. ""Until that time our prayers and deepest condolences are with the people of Charleston and the families of those who have been torn apart by this senseless act of violence and hate.""The Trump campaign announced that the South Carolina event will be rescheduled in the near future.###Press contact:Hope Hicks[emailprotected]203-273-0226'"
Donald Trump,R,p,"June 18, 2015","b""Press Release - Donald Trump's Cult of Personality""","b'NewsBusters""People who think he\'s a joke and a fool need to be careful because by the end of the campaign, the joke may be on them."" That\'s how Joe Scarborough summed up the surprisingly respectful analysis of Donald Trump\'s candidacy on today\'s Morning Joe.Introducing the segment, Scarborough suggested that if Trump sticks to a Perot-like populist message, he could get 15% of the primary vote. When Joe turned to Steve Schmidt, this NewsBuster expected the former McCain campaign manager and establishment Republican to dump on Trump. But to the contrary, Schmidt agreed heartily with Joe and went on to make the case that Trump is channeling widespread popular resentment, is the man people would want to hear in a debate, and could be ""very impactful"" in the race. John Heilemann was similarly respectful of Trump\'s potential, saying he ""doesn\'t play by the rules and is fearless,"" and receives serious, generally favorable local coverage in places like Iowa and New Hampshire.'"
