Candidate,Party,Type,Date,Title,Speech
Scott Walker,R,p,"July 13, 2015","b""Press Release - Governor Scott Walker's Announcement Tour - Get Your Tickets""","b""Didn't get a chance to be in Wisconsin for today's announcement? Don't worry, Scott Walker is kicking off his announcement tour this week, holding rallies and events in Nevada, South Carolina, New Hampshire and Iowa.And guess what? You're invited to come along and hear Governor Walker's vision for restoring conservative leadership to the White House.You might not be aware, but Governor Walker has been doing BIG things in Wisconsin. He just passed the third straight budget that cuts property taxes for Wisconsin families, and the last budget delivered the largest income tax cut in 14 years.So here's your chance to hear Governor Walker share his vision with you, and the best part is, the tickets are free.Las Vegas, NV - July 14 - Tickets here.Charleston, SC - July 15 - Tickets here.Lexington, SC - July 15 - Tickets here.Mauldin, SC - July 15 - Tickets here.Atlanta, GA - July 15 Amherst, NH - July 16 - Tickets here.North Hampton, NH - July 16 - Tickets here.Davenport, IA - July 17 - Tickets here.Cedar Rapids, IA - July 17 - Tickets here.Urbandale, IA - July 17 - Tickets here.Council Bluffs, IA - July 18 - Tickets here.Sioux City, IA - July 18 - Tickets here.Carroll, IA - July 18 - Tickets here.Haverhill, IA - July 18 - Tickets here.Dubuque, IA - July 19 - Tickets here."""
Scott Walker,R,p,"July 13, 2015",b'Press Release - How to Update Your Social Media to Support Scott Walker',"b'The moment you\'ve all been waiting for is finally here. Scott Walker is officially in -- he\'s running for President of the United States!We know how excited everyone is and how much anticipation has led up to this moment. While there will be many ways to get involved, attend rallies and show your support, here\'s how you can help show that you\'re standing with Scott today: update your social media profile image and avatars. Here\'s how:Step 1: Download the image below. Either click the link below or right click on the image and click ""save as.""Download image here.Step 2: Head over to your Twitter, Facebook, Instagram, Pinterest, Google Plus or other favorite social media platform and upload as your new profile image or avatar. Step 3: Press ""save"" and watch the Scott Walker community grow. While you\'re online, follow @ScottWalker on Twitter and Facebook.'"
Scott Walker,R,p,"July 14, 2015",b'Press Release - Go Behind the Scenes with Scott Walker on Snapchat',"b'Scott Walker officially launched his snapchat a few weeks back. Since then, followers have had a chance to see Scott grilling brats on the barbeque, watching fireworks, singing karaoke and stopping into the McDonalds in Delavan, WI where he flipped burgers in high school.I\'m now on @Snapchat and what better weekend to launch than the #FourthofJuly. Please add my username ""govscottwalker."" -SKW  Scott Walker (@ScottWalker) July 3, 2015Today, Governor Walker is kicking off his announcement tour in Las Vegas, NV, then he\'s heading to New Hampshire, South Carolina, Georgia and Iowa. You\'re invited to come along and experience each stop of the journey through Snapchat as he shares his vision for restoring conservative leadership to the White House.'"
Scott Walker,R,p,"July 15, 2015",b'Press Release - Announcing For President in 13 Photos',b''
Scott Walker,R,p,"July 15, 2015",b'Press Release - Matt and Alex From the Road: Announcement Day',"b""On our first day of travel, I want to take an opportunity to share with you the whirlwind that has been the last 24 hours. We started out our day practicing our remarks, while Dad met with several reporters. Alex and I had a lot of friends coming to join us for the big announcement, so it felt like we were pulling out our phones about once every thirty seconds to make sure they were able to get in to the Expo Center.About midday, our family got together to get lunch one last time before the event. Mom, Dad, Alex and I were joined by my grandparents Llew and Pat, my Uncle David, Aunt Maria, and their daughters Isabella and Eva. For me, it was good to just sit down with my family and get my mind off of everything going on for a little while. Not only was it great to see family, but it was great to see my grandpa Llew in such great health too.My nieces are with me as we look at the stage for tomorrow night! #Walker16 - SKW pic.twitter.com/MtsEj3BWB7  Scott Walker (@ScottWalker) July 13, 2015After lunch, we all rushed over to the Expo Center to do a walk-through of the program. Alex and I got the opportunity to practice our remarks to an almost empty room while a few folks from the staff listened in. It's always a little strange to hear yourself speaking over the speaker system to an empty room. Once we finished practicing, Alex, David and I did a quick interview and then dashed back to the hotel to get changed.Alex and I had to hurry to change and then we headed right back to the Expo Center to begin introducing the speakers who were before our Mom and Dad. Once we got back and the room was packed with supporters, it all began to get so much more real. At that moment, I became overwhelmed with emotion and nerves at the same time. For the longest time the announcement just seemed like an idea in the distant future, but seeing the energy in the room woke me up and helped me realize that the day was actually here.Alex and I had to hurry to change and then we headed right back to the Expo Center to begin introducing the speakers who were before our Mom and Dad. Once we got back and the room was packed with supporters, it all began to get so much more real. At that moment, I became overwhelmed with emotion and nerves at the same time. For the longest time the announcement just seemed like an idea in the distant future, but seeing the energy in the room woke me up and helped me realize that the day was actually here.My mom also did an excellent job. I knew she was nervous for her part in the program, but I've seen how far she has come in recent years and she was tremendous.Dad, per usual, was on fire! I thought his remarks showed the American people who he was and outlined his vision going for our country going forward. I'm proud of all he has accomplished and cannot wait to see what he will do going forward.Scott Walker just announced that he's running for President of the United States! #Walker16 pic.twitter.com/XEvM92Ev8Q  Scott Walker (@ScottWalker) July 13, 2015After wrapping up his remarks, we went around and greeted supporters in the crowd. These guests in the front were fired up and ready to go. I loved their enthusiasm and many folks were excited to share how fat they had driven to be at the announcement.It truly was an amazing event and I have to give a shout out to Matt Hall, Director of Operations, and his team for the hours they put into this announcement event.After the event Alex and I waited in the back while our dad sat down with Sean Hannity. We needed to get out of the Expo Center for a bit, because it was way too hot! It was one of the hottest days in Wisconsin this summer and the packed room only made it worse. They even had us cool off in a walk-in cooler in the back with Dad after he finished up his speech.Expo Center was so hot I went into the cooler & sat on a keg of Miller Lite! -SW #Walker16 pic.twitter.com/pl7YQGQh6i  Scott Walker (@ScottWalker) July 14, 2015Next, we headed over to the hotel to join family members and supporters for a late dinner. Dad did a photo line with a bunch of the guests and we got an opportunity to celebrate with friends. Mom and Dad again addressed the crowd and then we called it a night.Today, we got up early and are headed for Nevada. This is just the first of many stops ahead of us on the announcement tour. Find a stop near you here.See you soon,Matt"""
Scott Walker,R,p,"July 17, 2015",b'Press Release - 4 Things You Might Have Missed This Week',"b"" While making his first stop at the Red Rock Harley in Las Vegas after announcing he's running for President, Scott Walker met 8-week-old patriot in training, Reagan!    A photo posted by Scott Walker (@scottwalker) on  After the President made a bad deal with Iran, Governor Walker made his position very clear and outlined what he would do if elected president.#IranDeal threatens US safety and exemplifies Obama-Clinton foreign policy: reward our enemies and undermine our true friends like Israel-SW Scott Walker (@ScottWalker) July 15, 2015By endorsing the #IranDeal, @HillaryClinton has betrayed Israel and its supporters: http://t.co/O6C5vuejyy - SW Scott Walker (@ScottWalker) July 15, 2015I'll terminate this bad #IranDeal, reimpose crippling sanctions, and work w/ allies to roll back Iran's destructive regional influence-SW Scott Walker (@ScottWalker) July 15, 2015 Due to a severe thunderstorm and flight delays, Scott Walker was up for 40 hours straight and held not one, not two, not three, but four events in South Carolina and Georgia. His son Matt, chronicled the missed connections, 2AM Burger King runs and rent-a-cars in this Medium post. My head hasn't been on a pillow in 30 hours. This really is around the clock campaigning. Crowds still pump us up. -SW Scott Walker (@ScottWalker) July 15, 2015.@ScottWalker ordering Burger King @ Atlanta airport. Delays got us here at 230am.Driving to Charleston for 8am event pic.twitter.com/hcosp8cf9y Rick Wiley (@rick_wiley) July 15, 2015 Scott Walker announced that he's running for President! Chances are you didn't miss the news, but you might not have seen his announcement speech. You can catch the entire speech below and thirteen exclusive photos."""
Scott Walker,R,p,"July 17, 2015","b""Press Release - Iowa 's Scott Walker""","b'After a good trip through South Carolina back to Atlanta, we flew up to New Hampshire for the next day of the announcement tour. Fortunately, our first event was not till later in the morning, so we had more time to catch up on sleep.@ScottWalker talking to the over flow crowd before going into Joey\'s Diner in Amherst NH #Walker16 pic.twitter.com/U86SQdSb9I Andrew Snow (@AndrewSnow) July 16, 2015Our first stop of the day was at Joey\'s diner in Amherst, NH. When we pulled up, there was another overflow crowd waiting to get into the event. Again, Dad got up on the back of pick up truck to speak with all the supporters that were waiting outside the event.We had a great time visiting with supporters at Joey\'s Diner. Joey and his family were great hosts and his kids were ecstatic to be there. Joey told Alex and I that our Dad drew the largest crowd of any candidate that has come to visit his diner before.Thanks to Joey and his family for hosting us! https://t.co/IKSfwahUmU pic.twitter.com/fVAv6lX7dZ Matt Walker (@MattWalkerWI) July 16, 2015Next, we went to a local TV station for Manchester, NH and our Dad filmed a town hall. He first sat down to do an interview with WMUR\'s Josh McElveen and then opened the floor to take questions from the audience.Afterwards, we went to the Seacoast Harley Davidson dealership (of course, another Harley dealership). Senator Scott Brown joined us to introduce my Dad to the crowd. It was great to have Senator Brown there, but my Dad was pretty jealous that he rode his motorcycle to the event.Thx to everyone who came out to Seacoast @HarleyDavidson in North Hampton, NH. See you next weekend. -SW pic.twitter.com/ieAiJpMBa6 Scott Walker (@ScottWalker) July 16, 2015Next, we made our way to Boston to visit with a small group of supporters, before heading back to the hotel. Dad went to make an appearance on the Kelly File, while Mom, Alex and I made our way back to the hotel to rest after a long day. Alex and Mom had some time to relax, but unfortunately I had to work on classwork for a summer course.Then, we had an early morning to fly out of Boston to the Quad Cities. Upon arrival we hopped in the new campaign Winnebago. We are taking it all across Iowa over the next three days and will be coming back to use it again and again.""Teamwork makes the dream work"" - grateful for our wonderful staff. #Walker16 pic.twitter.com/104lYkpewY Tonette Walker (@TonetteWalker) July 17, 2015So far, we have made one stop in Davenport at the Modern Woodmen Park, home of the River Bandits. It was another packed house in Davenport.First stop in Iowa! Home of the River City River Bandits #Walker16 pic.twitter.com/prBMua0Siw Kirsten Kukowski (@kakukowski) July 17, 2015Yet, the best part of the stop was the stadium scoreboard. Check it out:What a welcome -> Iowa \'s @ScottWalker! pic.twitter.com/42N8mO8iPl Matt Walker (@MattWalkerWI) July 17, 2015Alex and I will update more from the trail soon!Matt'"
Scott Walker,R,p,"July 18, 2015",b'Press Release - The Road to 99 Counties',"b'Yesterday we started off at Modern Woodmen Park in Davenport, where we were met by a great crowd of supporters and ate some of Wisconsin\'s own Johnsonville Brats. One of the reporters jokingly asked me if my Dad was going to take some batting practice on the way out. It would\'ve been awesome had we had the time.Davenport, as many of you may know, is located in Scott County, our first of 99 counties we\'re going to visit on the campaign trail. That\'s right, all 99. Our Dad has his heart set on doing a ""Full-Grassley."".@ScottWalker takes the stage at Modern Woodmen Park in Davenport, IA. pic.twitter.com/KBLwV2Yhv2 Rick Wiley (@rick_wiley) July 17, 2015Next up was Linn County. We stopped in Cedar Rapids at the Museum of Art, where we had a town hall. Our Dad gave a few remarks and then spent 35 minutes taking questions from the crowd.Cedar Rapids Town Hall, County 2 of 99Fortunately, we had a great turnout and the crowd was fantastic. Unfortunately, the air-conditioner was broken and it was probably about 100 degrees in the room. But despite the heat, no one left and we had a fantastic time meeting with folks. What really made the event great for us Wisconsinites was seeing Packers Nation out in full force!We ran into more Packers fans in Cedar Rapids, IA! We travel well. #Walker16 pic.twitter.com/SAPxlmAKWV Alex Walker (@AlexWalkerWI) July 17, 2015Great stop at our field office in Urbandale today! pic.twitter.com/mS3m3wbPUj Alex Walker (@AlexWalkerWI) July 18, 2015For our Dad, it was another day of shaking hands, eating BBQ, and kissing babies. As we go around the state on our Winnebago tour to every county in Iowa, we\'re having folks at each event sign the RV to show their support!.@ScottWalker chad Airhart and brad Zaun signing the RV. pic.twitter.com/KgCYKBx5Kv Rick Wiley (@rick_wiley) July 18, 2015'"
Scott Walker,R,p,"July 18, 2015","b""Press Release - Robert C. O'Brien, Senior Adviser to Governor Walker, Statement on the Need to Terminate the Bad Deal with Iran""","b'Today Robert C. O\'Brien, a Senior Adviser to Governor Scott Walker and a former US Representative to the United Nations General Assembly, made the following statement on the need to terminate Obama\'s bad deal with Iran:""The next president must terminate this disastrous deal with the Islamic Republic of Iran on Day 1, as Governor Walker has repeatedly pledged to do. In fact, the process of undoing this deal begins right now. We don\'t need more information, we don\'t need to wait to confirm the next Secretary of State, we need decisive leadership and we need it now. This won\'t be easy, but when America leads, and has a strong president with clear priorities who believes in American strength, the rest of the world will follow.""At stake is our safety and the safety of our closest allies, especially Israel. We cannot delay. President Obama is trying to force his successor to swallow his bad deal at the same time he is showing complete disdain for the policies of his predecessors. For the last 36 years, every American President has organized their Middle East policy around challenging Iran\'s revolutionary regime. President Obama has reversed that policy, without support from Congress or the country. If Governor Walker is elected, America\'s policy will be to support our friends and stand up to our enemies. Irana regime that chants ""Death to America"" and wants to wipe Israel off the mapis our enemy whether Barack Obama realizes it or not.""'"
Scott Walker,R,p,"July 23, 2015","b'Press Release - A Meet and Greet with Governor Scott Walker and Congressional Candidate Darin LaHood in Bloomington, IL'","b""Please join us for a meet and greet with Governor Scott Walker and Congressional Candidate Darin LaHood, Monday, July 27th, 1:15 PM CDT, at Chuck's Harley-Davidson, Inc.!Address: 2027 Ireland Grove Rd., Bloomington, IL 61704Event Starts: 1:15 PM CDTAttendee Requirements:RSVP: You must RSVP and bring your registration ticket with you to the event for admittance.Ticket/ID: The name on your registration ticket must match your government issued photo ID.For press inquiries contact press@scottwalker.com.Thank you for your interest - we look forward to seeing you there!"""
Scott Walker,R,p,"July 23, 2015","b'Press Release - A Meet and Greet with Governor Scott Walker in Olivette, MO'","b'Please join us for a meet and greet with Governor Scott Walker, Sunday, July 26th, 2:15 PM CDT, at Sugarfire Smoke House!Address: 9200 Olive Blvd. Olivette, MO 63132Event Starts: 2:15 PM CDTAttendee Requirements:RSVP: You must RSVP and bring your registration ticket with you to the event for admittance.Ticket/ID: The name on your registration ticket must match your government issued photo ID.For press inquiries contact press@scottwalker.com.Thank you for your interest - we look forward to seeing you there!'"
