Candidate,Party,Type,Date,Title,Speech
Chris Christie,R,p,"July 8, 2015","Press Release - In NH, ""Scripted"" Clinton V. ""Unscripted"" Christie","Scripted"" Clinton: ""One day in May, operatives from a Washington-based super PAC gathered New Hampshire mayors, state representatives and local politicos at Saint Anselm College for a day of training. They rehearsed their personal tales of how they met Hillary Rodham Clinton and why they support her for president. ... They scripted their arguments for why the Democratic front-runner has been 'a lifetime champion of income opportunity.' And they polished their on-camera presentations in a series of mock interviews. The objective of the sessions: to nurture a seemingly grass-roots echo chamber of Clinton supporters reading from the same script across the communities that dot New Hampshire, a critical state that holds the nation's first presidential primary."" - The Washington Post, 7/8/15 ""Unscripted"" Christie: ""More than anyone else, Chris Christie, the Republican governor of New Jersey, has made himself available for unscripted questions from the public. Last Wednesday's town hall meeting in Ashland  his 12th in New Hampshire since January  was no different, providing a microcosm of what is on the minds of voters. 'Not a lot of rules here,' Christie told a standing-room-only crowd at the American Legion post. 'You raise your hands, and I'll call on you.' And one after another, for more than an hour, Christie did just that, answering about a dozen questions."" - The Boston Globe, 7/8/15"
Chris Christie,R,p,"July 8, 2015",Press Release - WSJ-Opinion: Chris Christie is the Republicans' Terminator: The Guy Just Keeps Coming,"Can Chris Christie Compete?Chris Christie is the Republicans' Terminator: The guy just keeps coming. Daniel Henninger, Wall Street Journal ""[I]t is impossible to ignore Chris Christie.He's the Terminator of Republican politics.This guy just keeps coming at you."" Even as he languishes, left wing websites such as Salon.com and the Huffington Post can't resist singling him out for attack. It could be they're trying to drive a stake into Mr. Christie because they see something the right doesn't: Chris Christie's skills as a retail politician are simply too strong to write him off as a presidential contender."" Read more here."
Chris Christie,R,p,"July 11, 2015",Press Release - New Reuters/Ipsos Poll Shows Christie in Third,"White House contenders Trump, Bush in virtual dead heat: Reuters/Ipsos pollWill DunhamReuters Donald Trump, who became the center of attention in the race for the 2016 Republican U.S. presidential nomination with his denunciation of illegal immigrants from Mexico, has vaulted into a virtual dead heat with Jeb Bush atop the field, a Reuters-Ipsos poll released on Saturday showed. Trump, a billionaire real estate developer, had the support of 15.8 percent of respondents in the online poll of self-identified Republicans compared to 16.1 percent for Bush, a former Florida governor. They were followed by New Jersey Governor Chris Christie at 9.5 percent, Kentucky Senator Rand Paul at 8.1 percent, surgeon and author Ben Carson at 7.2 percent and Wisconsin Governor Scott Walker at 5.8 percent... In the Reuters/Ipsos poll of the Republican race, 404 self-identified Republicans age 18 or over were questioned from July 6-10. The poll had a credibility interval, a measure of accuracy, of 5.7 percentage points."
Chris Christie,R,p,"July 13, 2015",Press Release - WMUR: Sheriff Scott Hilliard Latest Key Republican to Endorse Chris Christie,"Sheriff Scott Hilliard latest key Republican to endorse Chris Christie Well-known law enforcement official cites New Jersey governor's leadershipJohn DiStasoWMUR One of the most politically active and influential sheriffs in New Hampshire has made his choice for president.WMUR.com has learned that when New Jersey Gov. Chris Christie returns later this week to resume campaigning in New Hampshire, Merrimack County Sheriff Scott Hilliard will formally endorse him. The five-term Republican sheriff, in an interview, cited Christie's leadership and direct style as well as what he views as Christie's ability to work across the political aisle. Hilliard joins former Nashua Mayor and Executive Councilor Bernie Streeter, former U.S. Attorney Tom Colantuno and former state Republican Party Chairman Wayne MacDonald in Christie's camp. Streeter and Colantuono endorsed Christie during his five-day visit earlier this month.MacDonald introduced Christie at his first New Hampshire town hall meeting after his presidential announcement on June 30.Endorsements are often overplayed in the presidential primary game, but in Hilliard, Christie has attracted a respected law enforcement official who is also known as a political activist who who works tirelessly for the candidates he supports. Read more here."
Chris Christie,R,p,"July 16, 2015",Press Release - Christie: A Helping Hand Is Always Better Than An Armored Fist,"Earlier today, Governor Christie made his 34th visit to Camden to show the country how local officials and the community have worked together to get results. While President Obama and others are just waking up to the challenges facing our cities because it's politically comfortable, Governor Christie has been working to overhaul a broken criminal justice system by showing up and focusing on communities that matter even though there is nothing to gain politically - a city where Governor Christie only received 6% of the vote in 2009 and 19% in 2013. In his fifth in a series of substantive policy addresses, Governor Christie spoke about the model Camden has become for the rest of the country when it comes to community and law enforcement relations, as well as reforming our bail system and changing the stigma that surrounds addiction. He closed the speech by sharing a personal story of a friend who fell victim to the disease of addiction. In case you missed it, here are three videos highlighting the Governor's remarks this morning:  Full remarks can be found here."
Chris Christie,R,p,"July 16, 2015","Press Release - Concord Monitor-Opinion: Christie Can Be Trusted to Lead, Solve Problems","Christie can be trusted to lead, solve problems Sheriff Scott Hilliard, Concord Monitor As a lifelong law enforcement professional and the current sheriff of the third-largest county in New Hampshire, there are specific qualities I look for while assessing the extensive field of presidential candidates. I want a president who I can trust - someone who is willing to tell the truth, even when it is not politically popular. I want a president who is compassionate and can understand the struggles of our neighbors in these difficult times. I want a president who has the strength to make the tough calls to keep America safe in a dangerous world. And I want a president who can work with both parties, to forge compromise and deliver results for the people who elected them to lead. After reviewing and observing each of the Republican candidates for president, I have found the individual who fits all of those qualities: Gov. Chris Christie. Read more here."
Chris Christie,R,p,"July 16, 2015","Press Release - As Obama Visits Prison, Christie To Outline His Own Criminal Justice Reform","As Obama Visits Prison, Christie To Outline His Own Criminal Justice ReformAlex PappasDaily Caller ...The Republican governor will give a policy speech on the topic at a community center in Camden, New Jersey, emphasizing his background as a former U.S. attorney. ""When I became U.S. Attorney for New Jersey in 2002, I got to do that by helping lead the fight against corruption, drugs and terror,"" Christie will say, according to excerpts provided to The Daily Caller ahead of his speech. ""We got illegal guns off the streets, prosecuted gang members and stopped terrorist plots against Fort Dix and Newark Airport."" According to aides, Christie will call for more ""interaction between law enforcement and citizens, taking officers out of their cars and putting them on the streets."" Read more here."
Chris Christie,R,p,"July 16, 2015",Press Release - GOP Candidate Chris Christie Outlining Proposals for Changes in Criminal Justice System,"GOP candidate Chris Christie outlining proposals for changes in criminal justice systemJill ColvinAssociated Press New Jersey Gov. Chris Christie is calling for changes in the criminal justice system, seeking in part to give nonviolent drug offenders a better shot at rebuilding their lives and to improve frayed relations between communities and police. In the wake of protests across the country sparked by the deaths of young black men by police, Christie plans to point to Camden, New Jersey, as a national model for rebuilding trust between law enforcement and residents while driving down violent crime. ""Peace on our streets is more than just the absence of violence,"" Christie says in excerpts of a speech he plans to deliver Thursday in Camden. ""Justice isn't something we can jail our way to. Justice is something we have to build in our communities."" Read more here."
Chris Christie,R,p,"July 17, 2015",Press Release - 3 Local Leaders Endorse Chris Christie,"3 local leaders endorse Chris ChristieDan TuohyUnion Leader N.J. Gov. Chris Christie has won endorsements from three notable local government leaders. Concord City Councilor Dan St. Hilaire, Rockingham County Commission Chairman Tom Tombarello, and Rockingham County Commissioner Kevin Coyle.St. Hilaire is a former New Hampshire Executive Councilor and former Merrimack County Attorney who served as an alternate delegate for Sen. John McCain, R-Ariz., at the 2008 Republican National Convention. Read more here."
Chris Christie,R,p,"July 18, 2015","Press Release - TIME: ""Enter Mary Pat Christie, Campaign's All-Purpose Fixer""","The New Republican Power Players in 2016: Wives (And One Husband)Philip ElliottTIME New Jersey Gov. Chris Christie was making his way slowly down Main Street in Wolfeboro, New Hampshire, held up by yet another fan who wanted a selfie along the parade's route. The process was delaying the day in July, throwing the whole campaign off-schedule and making Christie's aides nervous about making it to the next stop. Enter Mary Pat Christie, campaign's all-purpose fixer. Her task for the day: be the antidote to any long-winded wellwisher or fat-fingered iPhone user. ""Hi, I'm Mary Pat,"" she said with an outstretched hand, breaking into the conversation. She subtly grabbed her husband's elbow and said quietly, ""We've got to go."" She directed him to the next group of supporters in a way that didn't offend the voter and got the job done. Read more here."
