Candidate,Party,Type,Date,Title,Speech
Bobby Jindal,R,p,"June 24, 2015",Press Release - We Must Secure the Border,"President Obama is responsible for keeping America safe, and he has repeatedly failed at the simple task of securing our southern border. We have a flood of illegal immigrants sweeping across the border and President Obama's naive assumption that they are all friendly workers is downright dangerous. We need to strictly monitor who enters and exits our country. Sign the petition if you believe America needs secure borders."
Bobby Jindal,R,p,"June 24, 2015",Press Release - A Special Announcement From Bobby Jindal,"My name is Bobby Jindal, and I am running for President of the United States of America. There were three people I think you would agree my wife Supriya and I had to tell first. See some of the best reactions from the conversation in the videos below.I had to tell a few people first. But I want you to be next. I'm running for President of the United States of America. Join me: http://www.bobbyjindal.com/announcement/Posted by Bobby Jindal on Wednesday, June 24, 20156. PuppyMy daughter Selia cut to the chase: she wanted a puppy. I gave in, but with some conditions.My daughter Selia cut to the chase: she wanted a puppy. I gave in, but with some conditions.Posted by Bobby Jindal on Wednesday, June 24, 20155. An Important Election for SladeBut all the potential perks of the White House got him thinking. And excited.All the potential perks of the White House got Slade thinking. And excited.Posted by Bobby Jindal on Wednesday, June 24, 20154. An Important Election for the CountryBut this election is important. The country does need changing. Good question Shaan.This election is important. The country does need changing. Good question Shaan.Posted by Bobby Jindal on Wednesday, June 24, 20153. Look, a Turtle!Keeping the attention of an eight year old can be hard. Even when you have a family talk about running for President.Keeping the attention of an eight year old can be hard. Even when you have a family talk about running for President.Posted by Bobby Jindal on Wednesday, June 24, 20152. Three Votes and Counting...Shaan has already started counting votes.Shaan has already started counting votes.Posted by Bobby Jindal on Wednesday, June 24, 20151. Eye on the PrizeShaan added some important realism to the conversation, a reminder that there is a lot of work ahead.Shaan added some important realism to the conversation, a reminder that there is a lot of work ahead.Posted by Bobby Jindal on Wednesday, June 24, 2015"
Bobby Jindal,R,p,"June 24, 2015",Press Release - Bobby's Top Eight Op-Eds on Repealing Obamacare,"Repeal All of Obamacare? Nah, Just KiddingFebruary 25, 2015""If you are one of those unsophisticated voters out there in America who thought that you voted for Republican candidates last November so that they will repeal and replace Obamacare, I have bad news for you  Many of the ""thinkers"" on the Republican or conservative side in Washington are too scared to do it.""The GOP Mustn't Offer Obamacare LiteFebruary 1, 2015""There is a secret that people outside of Washington, D.C., aren't aware of right now: Some Republicans in Congress are on the verge of proposing an alternative to Obamacare that imposes new tax hikes on the American people.""Another Broken Promise: Obamacare and AbortionSeptember 23, 2014""It was bound to happen. After all the secret deals with special interests and Cornhusker Kickbacks used to pass Obamacare, after the extralegal waivers of Obamacare's new insurance regulationsa majority of which went to participants in union plansafter the multiple delays of an insurance mandate for big businessbut not for individualsyou just knew that Planned Parenthood and the pro-abortion lobby would get their political payback for supporting the Democrat machine.""Your health care: Obama's $18,000 broken promiseJuly 15, 2014""... The administration also now claims that Obamacare is working, because premiums are ""only"" rising by 6 or 8 percent per year. But that's not what then-candidate Obama himself promised in 2008; he spoke frequently of ""cutting,"" ""reducing,"" and ""lowering"" premium costs. Whether premiums go up by 1 percent or 101 percent, any increase represents a promise broken.""Yes, we can still repeal ObamaCare  let's get to workMay 19, 2014""Many families struggling with rising premiums and co-payments might believe that they will never see relief. But the notion that we can't slow the growth of health spending is just as fanciful as the idea that ObamaCare cannot be repealed. The only reason we can't accomplish both objectives is political willbecause Washington needs a Beltway-sized reality check.""What Hillary KnewIn 1993May 13, 2014""It is a well-known fact that Clinton came to strenuously support an individual health insurance mandate in her 2008 primary campaign against Barack Obama. Less well-remembered, however, is that Clinton considered an employer mandatenot an individual mandatethe best way to achieve ""universal coverage"" in her health care task force's ill-fated 1993 proposal, put forth while she was first lady.""Obamacare Is Anything But CompassionateFebruary 9, 2014""Obamacare's Medicaid expansion doesn't just discourage work; it also prioritizes coverage for able-bodied adults over the needs of persons with disabilities. That's a dirty little secret the Obama administration and its liberal allies, in their rush to expand government-funded health coverage to millions more Americans, won't tell you. And it's yet another reason why states should resist the siren song of the administration and its leftist supporters, who plan to spend 2014 persuading them to embrace the expansion.""Obamacare flaws go beyond its executionNov 27, 2013""For two years in Washington, President Obama and left-wing radicals ran wild. The result  Obamacare  a new federal entitlement program leading to government-run health care. We're now starting to see the fruits of this disastrous policy in a website filled with glitches."""
Bobby Jindal,R,p,"June 24, 2015",Press Release - Repeal and Replace Obamacare,President Obama's grand program has failed to deliverreal healthcare outcomes that America needs. I am the only presidential candidate who has a detailed plan to repeal and replace Obamacare with a conservative and effective alternative. We must empower patients rather than bureaucrats. My healthcare plan focuses on patient freedom and reducing costs. Sign the petition if you believe we can repeal and replace Obamacare.
Bobby Jindal,R,p,"June 24, 2015",Press Release - Top Achievements as Governor,"Government on a Diet:When Bobby took office, Louisiana state government was bloated, inefficient and far too expansive. The Governor went to work trimming the excess and giving the taxpayer more bang for their buck. Since 2007, Bobby has cut state government workers by 34%; over 30,000 bureaucrats. Along with cutting unnecessary employees,Jindal cut the total overall Louisiana budget by 26%. The tough fiscal decisions the governor made have been rewarded with 8 consecutive credit upgrades, highest in recent state history.Homecoming Dance:In the 25 years leading up to the Jindal taking office, Louisiana kept losing citizens to neighboring states and beyond because jobs weren't available. Since Governor Jindal took office 7 years ago, the pattern of out migration has been reversed, with more people moving to Louisiana than leaving it. Today, Louisiana has more people living and working in the state than ever before, with the highest incomes in the history of the state. Conservative governing works.Now Hiring:Under his administration, economic development wins have resulted in more than 91,000 new jobsand more than $62 billion in private capital investment. Louisiana now ranks higher in every national business-climate ranking than it ever did prior to January 2008. Today in Louisiana, more than 2 million people are working  the highest number in Louisiana history.School's in Session:One of the lasting legacies of the Jindal years will be education reform. Children can only grow up once, so Bobby took on the tough task of implementing a major K-12 education system overhaul. Governor Jindal made education reform his top priority and pushed a bold plan to provide more choices for families, reward quality teachers, increase school accountability, and give school leaders more flexibility with funding and personnel. Louisiana now has a statewide school choice scholarship program that gives parents the option to remove their children from a failing school and enroll them in a new school of their choice. What resulted is nothing short of a miracle. The number of failing schools fell by 50% and high school graduation rates rose to an all-time high. The statistic that cannot be measured is the number of parents who are no longer scared for their children in school, or the number of children who are looking at furthering their education after graduation.An Ethical Dilemma:Louisiana has a checkered and colorful past when it comes to political corruption. Numerous politicians have been convicted of corruption, fraud and a litany of other charges. Businesses were afraid to invest in Louisiana because under corrupt state leaders, far too often, who you know is more important than what you know. Ethics was a top priority for Bobby and shortly after taking office he called a special session to address comprehensive ethics reform, immediately fulfilling a campaign promise and removing a blemish that had marked Louisiana for far too long. Since the conclusion of that special session, the Better Government Association and the Center for Public Integrity announced that Louisiana's new ethics laws are among the best in the nation. Money Back Guarantee:When wasteful spending gets reigned in, and a government starts to run efficiently and effectively, more money can stay with the taxpayer. In 2008, Governor Jindal enacted the largest single tax cut in Louisiana history by lowering income tax rates and restoring the full deduction for excess federal itemized personal deductions. This tax cut was estimated to save Louisiana taxpayers more than $1.1 billion over five years and save individual taxpayers as much as $500 per year. This was one of the dozens of times Bobby has cut burdensome taxes for the people and businesses of Louisiana. Governor Jindal has signed tax cuts into law totaling more than $2 billion."
Bobby Jindal,R,p,"June 24, 2015",Press Release - Bobby's Top Five Op-Eds on Education,"An education system for the 21st centuryFebruary 25, 2015""We need to create a modern educational system for the modern challenges future generations will face  a competitive, interconnected global economy, where students from Charleston and Baton Rouge will compete with those from Chengdu and Bombay. Creating that system involves reforms large and small  but three guiding principles.""School choice week is freedom weekJanuary 29, 2015""On the most basic level, school choice represents the freedom to choose  empowering parents to select the best educational options for their sons and daughters. That could be a charter school, a private school, a religious school, home schooling, or even online learning. Governments should provide parents with the personalized and individualized tools they need to help their children excel academically.""Why I fight for local control of educationJuly 23, 2014""... there is one issue we have tackled that stands out to me above all others  education reform  specifically, our efforts to put a great teacher in every classroom and to fight for equal opportunity in education for Louisiana children. We have made great strides on this front, but there is still much room for improvement. Our kids only grow up once, and we only have one shot at providing a child with access to a great teacher and a quality education.""What's Obama's Problem With School Choice?July 8, 2014""Why would the federal Department of Justice cite the Civil Rights Act and the specter of segregation to try and block a school choice program where more than nine in 10 participants come from racial minority groups? Or use the Americans with Disabilities Act to claim another school voucher program discriminates against individuals with disabilities, without so much as a single complaint from a student or parent to prove their case?""Obama should drop suit opposing school choiceSeptember 4, 2013""The Justice Department has challenged my state in court for having the temerity to start a scholarship program that frees low-income minority children from failing schools. In other words, Obama and Attorney General Eric Holder would rip children out of their schools and handcuff them to the failing schools they previously attended. And, in the ultimate irony, they are using desegregation orders set up to prevent discrimination against minority children to try to do it."""
Bobby Jindal,R,p,"June 24, 2015",Press Release - Let's Shrink the Government and Grow the Private Sector,"The Federal Government bankrolls so many unnecessary and opulent programs, yet it constantly fails to accomplish it's basic duties, and the private sector suffers as a result. In Louisiana I slashed the budget 26% and eliminated 30,000 unnecessary bureaucrat jobs, put the government on a diet and I will do the same thing in DC. Sign the petition if you want a smaller federal government."
Bobby Jindal,R,p,"June 24, 2015",Press Release - A Strong America is a Safe America,"One day after President Obama said ISIS cannot be defeated with guns, but instead with 'better ideas,' he announced his intention to shrink the Army by 40,000 troops. This is gravely concerning."" -Bobby Jindal 07/08/15America's stature in the world has drastically diminished. Unfriendly nations push the Obama Administration around, and the President himself will not call out the radical Islamist enemies we face. We need to restore America to a place where our enemies fear us and our friends trust us. Sign the petition if you think a stronger America is a safer America."
Bobby Jindal,R,p,"June 24, 2015",Press Release - Seven Things You Didn't Know About Bobby,"He first asked his wife out in HS. She said no:In high school, Bobby asked Supriya out, but was kindly turned down. Both of them moved on, graduated high school and went on to college, Bobby to Brown and then on to Oxford as a Rhodes Scholar, while Supriya got a chemical engineering degree and an MBA from Tulane. In 1996, when his Mardi Gras ball date cancelled, Bobby found Supriya's number, called her and left a message saying, ""If you're married, delete the rest of this message, but if you're not, give me a call back."" A few months later Bobby proposed, and the rest is history.Call me Bobby:Growing up, Governor Jindal loved The Brady Bunch. Everyday after school he would watch, and instantly identified with the youngest Brady boy, Bobby. As a 4 year old, the Governor decided to rename himself after his favorite TV character. One day his teacher told his mother, 'Well, your son has got a new name.' His self-imposed nickname stuck and he has been Bobby Jindal ever since. Daily Routine:Being governor and being a dad is a non-stop job. Natural disasters, baseball games, last second meetings; no two days are the same. Try as he might, the new challenges each day brings can't be predicted. In the midst of the job, two things are consistent in keeping the governor going: daily exercise... and daily chocolate chip cookies. Bobby starts each morning with a hard workout, and recovers with a recovery meal of chocolate, carbs and sugar. Bobby is a scientific anomaly; and scientists should probably study him. Dr. Jindal:Growing up, Bobby's dad always told him he could study whatever he wanted to in college. When Bobby inquired about studying, history, or philosophy or art history, his father replied, ""No you can be whatever kind of doctor you want to be."" Growing up, Bobby always planned on being a doctor, but in college as a pre-med student, he took more of an interest in healthcare policy than healthcare practice. Father Jindal:Bobby was raised Hindu, and converted to Christianity in high school. When he received a personalized Bible as a birthday present he dismissed it as a boring gift that he couldn't even re-gift. Friends grew tired of trying to convert him, but they didn't give up. Throughout high school, Bobby wrestled with the Lord and the work that He was doing in his life. He dug out his Bible and read it cover to cover. In high school, while watching a grainy film about the Crucifixion of Jesus, Bobby surrendered his life to Christ and has never looked back. Dr. Jindal Part 2:While Bobby never attended medical school, that didn't stop him from successfully delivering a baby in 2006. It wasn't just any baby, but his youngest son Slade. Meticulous planning was thrown out, and speeding to the hospital wasn't an option. With a little coaching from the 911 operators, Bobby delivered a healthy 8-pound baby boy in his bathroom.Snack shopIn high school, Bobby could be seen at LSU home football games, not because his family had season tickets, but because he worked in the concession stands. It was just another example of Bobby working for everything he ever got."
Bobby Jindal,R,p,"June 25, 2015",Press Release - Jep and Jessica Robertson Endorse Bobby Jindal,"I definitely would vote for him he's a very, very good man. We've gotten to chat with him several times, kind of just talking, he's a great dude....he's very transparent, has a great family, so yeah I'd definitely give him my vote.""-Jep Robertson on Bobby JindalRead more on FoxNews.com."
