Candidate,Party,Type,Date,Title,Speech
Bobby Jindal,R,s,"June 25, 2015",Statement by Governor Bobby Jindal on Today's Supreme Court Ruling,"Today, the Supreme Court had its say; soon, the American people will have theirs.President Obama would like this to be the end of the debate on Obamacare, but it isn't. The debate will continue because the law has failed to accomplish its prime objective: Containing health care costs.Republicans must outline a clear and coherent vision for health care to win the trust of the American people to repeal Obamacare. And right now, I am the only candidate to put forward a comprehensive plan.Now that the Supreme Court has ruled, the debate will grow. Conservatives must be fearless in demanding that our leaders in Washington repeal and replace Obamacare with a plan that will lower health care costs and restore freedom."
Bobby Jindal,R,s,"June 26, 2015",Statement by Governor Bobby Jindal on the Supreme Court's Gay Marriage Ruling,"Today, Governor Jindal released the following statement on the gay marriage ruling issued by the United States Supreme Court:Governor Jindal said, ""The Supreme Court decision today conveniently and not surprisingly follows public opinion polls, and tramples on states' rights that were once protected by the 10th Amendment of the Constitution. Marriage between a man and a woman was established by God, and no earthly court can alter that.This decision will pave the way for an all out assault against the religious freedom rights of Christians who disagree with this decision. This ruling must not be used as pretext by Washington to erode our right to religious liberty.The government should not force those who have sincerely held religious beliefs about marriage to participate in these ceremonies. That would be a clear violation of America's long held commitment to religious liberty as protected in the First Amendment.I will never stop fighting for religious liberty and I hope our leaders in D.C. join me."""
Bobby Jindal,R,s,"June 29, 2015",Statement by Governor Bobby Jindal: Change Course or the Greek Economic Collapse Will Happen Here,"BATON ROUGE  Today, Governor Jindal released the following statement about Greece and its economy:Governor Jindal said, ""Every American should pay close attention to the economic collapse that is occurring in Greece. People's savings are wiped out, banks are shuttered, ATM's are out of money, and there is nowhere to turn.""This is the American future if we continue going down the road that President Obama has us on, and that Hillary Clinton wants to continue and even accelerate.""We never balance our budget, we never cut federal government spending, our federal government wastes money irresponsibly, the President has nearly doubled our debt to an unthinkable 18 trillion, our entitlement programs are on the way to bankruptcy, and yet we just created a new one in Obamacare.""Greece will happen here if we do not change course. Anyone who disagrees with this is a 'math denier'.""Greece is now coming to the pot of gold that awaits at the end of the socialist rainbow, and Hillary Clinton pledges to take America further down the road to socialism.""We can win the future by shrinking the government economy and growing the American economy. Or, we can destroy our future by continuing on our present course. This is the choice the American people will have to make in November of 2016."""
Bobby Jindal,R,s,"June 30, 2015","Statement by Governor Bobby Jindal: Secretary Clinton Breached National Security, U.S. Only Superpower Not Seeing Secretary Clinton's E-mails","WEST DES MOINES, IA  Governor Bobby Jindal said Secretary Hillary Clinton has ""created a major breach of national security"" by hiding her e-mails on a personal server and that the United States may be the only superpower in the world who hasn't seen the Secretary's e-mails.Governor Jindal said, ""Today the State Department plans to release more of Hillary Clinton's e-mails from her private server. Every time this happens, it gets treated as breaking news. But there are two very important things in this continuing drama that are routinely overlooked.""First, the American public is only getting the emails that Hillary Clinton herself is allowing us to see. She has already edited the e-mails, and has already destroyed the ones she did not want us to see, which makes the whole thing a meaningless charade.""Secondly, and far more importantly, by choosing to use her own server in her own house she created a major breach of national security. Everyone seems to focus on the dishonesty, the lack of transparency, and the fact that she destroyed all these records. But those are standard practices for the Clintons. ""The real issue is that while the American people will never see these emails, it is likely that the Russians and the Chinese already have all of them. This is the real consequence of having a Secretary of State who unlawfully chose to conduct America's foreign policy business on her own private email system.""If the Congressional leaders really want to see all of Hillary Clinton's e-mails, they would have a better chance of getting them from the hackers working for foreign governments. We are likely the only superpower in the world that will never see Hillary Clinton's e-mails."""
Bobby Jindal,R,s,"July 16, 2015",Statement by Governor Bobby Jindal on the Chattanooga Shooting,"Today, Governor Jindal issued the following statement on the shooting in Chattanooga:Gov. Jindal said, ""This apparent act of terrorism has taken the lives of four American heroes, and our hearts and prayers are with their families. While it's too early to know for sure what happened, it certainly looks like an act of terrorism. We must pursue justice on their behalf and stop at nothing to hunt down and kill these evildoers abroad before more of them come here to kill our people.""This shooting underscores the grave reality of the threat posed to us by Radical Islamic terrorism every single day. It's time for the White House to wake up and tell the truth...and the truth is that Radical Islam is at war with us, and we must start by being honest about that. ""There have been many bad things that have happened under President Obama. One that stands out to me was the horrible shooting at Ft. Hood...which was clearly an act of terrorism by a Radical Islamist. Yet the White House labeled that horrible act as 'workplace violence.' ""This is grotesque. You cannot defeat evil until you admit that it exists."""
Bobby Jindal,R,s,"July 17, 2015",Statement by Governor Bobby Jindal: Tell the Truth on Radical Islam,"Today, Governor Bobby Jindal called on the President to tell the truth on Radical Islam. Gov. Jindal said, ""It's time to stop pretending that things are fine in the world of Islam. America's political correctness must now come to an end. And America's President must stop pretending and he must speak clearly and plainly about the fact that Islam has a problem, and that problem is Radical Islam. You cannot defeat evil until you admit that it exists.""Islamic leaders must do more than simply condemn violence. They must clearly say to every Muslim in the world that murder will not be rewarded in the afterlife, but rather it will be severely punished. They have to say that these acts are evil and will be punished.""I've said this before and it gets glossed over. This must happen. We have no idea how many people are being wooed by Radical Islam, with the sick and deceitful promise of glory in the afterlife if they will murder innocent people.""Islamic leaders must put a stop to this. This is not too much to ask, and President Obama should demand this of all Islamic leaders."""
Bobby Jindal,R,s,"July 24, 2015",Statement by Governor Bobby Jindal on the Shooting in Lafayette,"Whenever a horrific incident like this happens, it makes me both sick and furious. I think I speak for every parent, when I say that this makes you want to hug your own children. This could have been my family, it could have been yours.""I would ask everyone to take a moment and pray for the injured and for the families that have lost a loved one.""The evil that exists in our world is shocking and appalling. But let us not forget the good that exists in people's hearts. There were acts of enormous bravery and heroism during this terrible incident.""From the two teachers who shielded one another and sounded the alarm, to the fast response of our law enforcement officers, brave men and women helped end this horrific incident.""One of the great things about America is that when one of us is hurting, all of us are hurting. We are going to wrap our arms around them and show them the love that is the foundation of our character as a nation.""Lafayette is a great American city and the people here are very strong. I know they will come through this as law enforcement officials conduct their investigation."""
Bobby Jindal,R,s,"August 11, 2015",Statement by Governor Bobby Jindal: Hillary Clinton Is One Email Away from Prison,"Hillary Clinton is already under investigation by the FBI. Now she's signed a sworn affidavit to a federal judge, under penalty of perjury, that she has handed over all of her government business emails.Which means that she's one email away from prison time. She'd better pray the Chinese government doesn't do a document dump.Maybe her friend Martha Stewart can stop giving her interior decorating advice and give her jailhouse survival tips instead. Orange really will be the new black."
Bobby Jindal,R,s,"August 18, 2015",Statement by Governor Bobby Jindal: Governor Walker's Health Care Plan is New Federal Entitlement Program,"SIOUX CITY, IOWA  Governor Bobby Jindal said today that Governor Walker endorsed the ""fundamental underpinning of Obamacare"" and called for a new entitlement program in the proposal he outlined today to repeal Obamacare. Governor Jindal was the first presidential candidate to offer a detailed plan to repeal and replace all of Obamacare in April 2014.Governor Jindal said, ""In a health care plan that is light on specifics, Governor Walker endorsed the fundamental underpinning of Obamacare  the notion that America needs another entitlement program.""In Governor Walker's plan, a new entitlement is created for every single American human being from the time they are born right up until they grow old and become eligible for Medicare[1]. It is frankly shocking that a Republican candidate for President would author a cradle to grave plan like this.""Governor Walker has taken the bait laid out for him by the President, and has accepted the notion that we need a new federal government entitlement program, and now he is merely quibbling over the details. So here we are again, not standing on free market principles, but rather, establishing ourselves as 'cheaper Democrats.'""Yes, there are good features to Governor Walker's plan. But, his plan is fundamentally accepting the premise of Obamacare  that we need a new federal entitlement program.""I think this may be what Jeb Bush was referring to when he said we need to be willing to lose the primary. Surely we as Republicans have more courage than this. Surely we can do better than simply producing our own versions of Obamacare lite.""In fact we can, I outlined a detailed conservative plan to repeal and replace Obamacare without a new federal entitlement program. My plan focuses on driving down the cost of health care by embracing free market reforms.""And now for the real kicker  Governor Walker's new entitlement plan is very Washington in that it fails to tell us what it will cost. It looks to me to be roughly $400 billion dollars a year. And we all know what that means, either raise taxes or add to the debt, which is so very Washington.""When did conservatism die? When did we accept the idea of dependence on government? Governor Walker is confused here. In his stump speech he has some clever lines about how the Fourth of July is about independence, not dependence. I like those lines. But with this Obamacare lite health care proposal, he's going to have to drop those lines from his speech.""[1] The Day One Freedom Plan, My Plan To Repeal and Replace Obamacare, Chart on Page 9, Walker for President Website,https://www.scottwalker.com/obamacare-plan/files/Day-One-Patient-Freedom-Plan.pdf"
Bobby Jindal,R,s,"August 28, 2015",Statement by Governor Bobby Jindal: Secretary Clinton Should Take a Look in the Mirror,"Comparison of pro-life Americans to terrorists exposes Clinton's hypocrisy on women's rightsNew Orleans, LA  Reacting to Hillary Clinton's comparison of Americans to foreign terrorists, Governor Bobby Jindal today released the following statement.""Secretary Clinton must be very confused. She seems to think that the 50% of Americans who oppose abortion are 'terrorists'. She thinks the people who make money killing unborn babies and selling their body parts are noble.""Before Hillary Clinton talks about the treatment of women, she should take a look in the mirror and reflect on her own actions. Her foundation has raised money from countries that prevent women from driving, legalize spousal rape, and allow for genital mutilation.""Here's the amazing thing when it comes to terror  while Hillary Clinton was Secretary of State, her foundation received money from one of the world's leading financial sponsors of Hamas, a group on the State Department's own list of banned terrorist organizations.""###BackgroundSecretary Clinton's comments can be viewed here:Qatar has pledged more than $400m to terror group Hamas since 2012:http://freebeacon.com/politics/clinton-foundation-hamas-share-major-donor/Hamas was on the State Department's list of terrorist organizations when Hillary Clinton was Secretary of State and at the time it made donations to the Clinton Foundation:http://www.state.gov/j/ct/rls/other/des/123085.htm"
Bobby Jindal,R,s,"August 31, 2015",Statement by Governor Bobby Jindal: Immigration Without Assimilation is Invasion,"Yesterday on CBS, I said those who come here should want to be Americans  they should assimilate, roll up their sleeves and get to work. I said that immigration without assimilation is invasion. When did it become politically incorrect to say immigrants should want to be Americans? You either want to become an American and be all in, or you don't. Let's insist on being the melting pot. Let's forget this politically correct liberal notion that we're not a melting pot anymore."
