Candidate,Party,Type,Date,Title,Speech
Rand Paul,R,p,"April 8, 2015","Press Release - Rand Paul Has Legitimate Chance at Becoming GOP Nominee for President, Thayer Says","Rand Paul has legitimate chance at becoming GOP nominee for president, Thayer saysBy Nick StormCN|24/8/2015Calling U.S. Sen. Rand Paul's presidential campaign kick off in Louisville ""spectacular"" and ""very presidential with all the bells and whistles"" state Sen. Damon Thayer, R-Georgetown, said Paul is on the right path for the nomination.Thayer, the majority floor leader in the state Senate, was one of the 1,500 supporters and gathered media to witness Paul's long coming entrance into the race for president.""I think he has a chance,"" Thayer said. ""If you objectively look at 2016 there are probably six to eight people who have a legitimate chance in an open seat presidential race to be the next president of the United States. I think any objective list would have to include Rand Paul.""Click here to read the full article."
Rand Paul,R,p,"April 8, 2015",Press Release - Rand Paul Turns the Typical Question on Abortion Exceptions Around in the Most Amazing Way,"Rand Paul Turns the Typical Question on Abortion Exceptions Around in the Most Amazing WayLifeNews.comApril 8, 2015By: Steven ErteltThe media always pound pro-life Republican candidates like presidential hopeful Rand Paul with questions about exceptions in an attempt to make pro-life candidates appear as if they are unsympathetic about women victimized by rape because they don' think killing the baby is the appropriate response. Reporters almost never ask pro-abortion Democrats hard-hitting questions about why they support late-term abortions, for example.So when Paul got a question from a reporter today, he turned it around in the most amazing way...Click here to read the full article."
Rand Paul,R,p,"April 11, 2015",Press Release - Sen. Rand Paul Speaks in Las Vegas,"by MATTHEW BOYLE - Breitbart11 Apr 2015LAS VEGAS, Nevada  Sen. Rand Paul (R-KY) wrapped his opening week as a 2016 GOP presidential candidate here with remarks to an overflow crowd.Coming on stage to ""Teenage Wasteland"" and chants of ""President Paul!"" from the more-than-a-thousand-person crowd crammed into the Desert Vista Community Center, Paul opened his remarks by noting that a ""while back I decided to count up a few things.""""I found out that the Lord's Prayer is 66 words long,"" Paul said. ""The Gettysburg address is 286 words long. The Declaration of Independence is 1,322 words long. But the government regulation for the sale of cabbage is 26,911 words long.""Much of the speech focused on an oversized federal government encroaching into Americans'and Nevadans'personal lives.""It's not getting any better,"" he said.Read the full article here: BREITBART: Rand Paul Does Las Vegas: 'Unafraid to Challenge The Status Quo'"
Rand Paul,R,p,"April 15, 2015",Press Release - Paul Doesn't Think the Agriculture Department Should be Telling Americans What to Eat,"Paul tells federal bureaucracy 'butt out'By: James Q. Lynch, The GazetteApril 25, 2015ATKINS  Sen. Rand Paul, R-Ky., has a message for Agriculture Secretary Tom Vilsack: Butt out.Paul, who is running for the GOP presidential nomination, doesn't think the U.S. Department of Agriculture should be telling Americans what to eat. The USDA and the federal Department of Health and Human Services have been preparing a dietary recommendation that Vilsack said addresses issues including obesity and Americans consuming more calories than necessary.""We should eat properly,"" Paul said after speaking to a group of Benton County farmers Saturday morning about a bill he's co-sponsoring with Sen. Chuck Grassley, R-Iowa, to allow for the sale of more ethanol.""But I'd tell them to butt the hell out,"" said Paul, an ophthalmologist.Read the full article here: http://www.kcrg.com/subject/news/paul-tells-federal-bureaucracy-butt-out-20150425#RwLcG6Gioy8fokdH.99"
Rand Paul,R,p,"April 23, 2015",Press Release - Is it Okay for Someone Who Looks Like Me to Stand With Rand?,"RareBy Zuri DavisApril 23, 2015Last night a Facebook notification showed up on my screen. A friend had posted a picture to my wall.What I saw disgusted me.The commenter said, ""[Rand Paul] is pretty much regarded as a racist, sexist, a**hole along with the rest of his party.""Because I am a black woman, the commenter said I was foolish for liking Rand Paul.I identify as a constitutional conservative. The most important political issue to me is the application of the Constitution. That's not going to change in 2016.I have done my research on each potential candidate. Paul may not be the perfect candidate for some and I don't agree with him on everything. But he is definitely the most liberty minded candidate in our two-party race. That's important to me.Click here to continue reading the full article: http://rare.us/story/is-it-okay-for-someone-who-looks-like-me-to-stand-with-rand/"
Rand Paul,R,p,"May 4, 2015",Press Release - Justin Amash Endorses Rand Paul for President,"The Washington PostBy Katie ZezimaMay 4, 2015GRAND RAPIDS, Mich. -- Rep. Justin Amash (R-Mich.) endorsed Sen. Rand Paul (R-Ky.) for president Monday.The endorsement from Amash, who was an ally of Paul's father, Ron, was no surprise. Amash and Paul come from the same playbook: libertarian-leaning members of Congress who relish in being a thorn in the side of the establishment, are privacy advocates and are willing to lob bombs at their opponents.""Rand Paul is a once-in-a generation sort of candidate,"" Amash said at the Kent County Republican Party headquarters here, where he appeared with Paul. Amash praised Paul's calls for a balanced budget and to stop government surveillance of phones and computers, and his attempts to broaden the Republican Party by courting young people and minorities.""Rand Paul is the most electable candidate for president that we have,"" Amash said. ""He's the one person who can unite our party and also bring new people into the party.""Click here to continue reading the full article: http://www.washingtonpost.com/blogs/post-politics/wp/2015/05/04/justin-amash-endorses-rand-paul-for-president/"
Rand Paul,R,p,"May 13, 2015",Press Release - Upholding the Right to Privacy is a Core Constitutional Value,"The Washington TimesBy Andrew P. Napolitano May 13, 2015A decision last week about National Security Agency spying by a panel of judges on the United States Court of Appeals in New York City sent shock waves through the government. The court ruled that a section of the Patriot Act that is due to expire at the end of this month and on which the government has relied as a basis for its bulk acquisition of telephone data during the past 14 years does not authorize that acquisition.This may sound like legal mumbo jumbo, but it goes to the heart of the relationship between the people and their government in a free society. Here is the backstory and the latest.The Patriot Act is the centerpiece of the federal government's false claims that by surrendering our personal liberties, it can somehow keep us safe. The liberty-for-safety offer has been around for millennia and was poignant at the time of the founding of the American republic.The Framers addressed it in the Constitution itself, where they recognized the primacy of the right to privacy and insured against its violation by intentionally forcing the government to jump through some difficult hoops before it can capture our thoughts, words or private behavior.Those hoops are the requirement of a search warrant issued by a judge and based on evidence  called probable cause  demonstrating that it is more likely than not that the government will find what it is looking for from the person or place it is targeting. Only then may a judge issue a warrant, which must specifically describe the place to be searched or specifically identify the person or thing to be seized.Click here to continue reading the full article: http://www.washingtontimes.com/news/2015/may/13/andrew-napolitanio-rand-paul-and-ted-cruz-on-the-p/"
Rand Paul,R,p,"May 20, 2015",Press Release - The Kentucky Republican Spoke on the Senate Floor Until He Could No Longer Stand. Here's Everything That Happened,"National JournalBy Dustin Volz and Kaveh WaddellMay 20, 2015 - Sen. Rand Paul has just wrapped a ten-and-a-half hour long speech on the Senate floor in what his office called a filibuster against the National Security Agency's surveillance programs, as part of an apparent stand against efforts by some of his Republican colleagues to extend the Patriot Act's expiring spy powers.""There comes to a time in the history of nations when fear and complacency allow power to accumulate and liberty and privacy to suffer,"" Paul started. ""That time is now. And I will not let the Patriot Act, the most un-patriotic of acts, go unchallenged.""Paul took the podium at 1:18 p.m. and left the floor at 11:49 p.m. Here's what happened, and what's coming next.12:26 a.m.: A very tired Rand Paul, off the floor, opens up.After he walked off the Senate floor, the Kentucky senator told reporters he was ""tired, voice is worn out, ready to go home.""But Paul didn't feel like his time and energy were for nothing. Business shoes in hand, a weary Paul said ""we accomplished something by having, you know, it was kind of nice to have bipartisan support.""Paul said that even though he didn't last until midnight, he still believed he had slowed down the clock by a day on procedural advancement on any Patriot Act reauthorization. But an aide to Senate Majority Leader Mitch McConnell suggested the theatrics matter little. ""Cloture on trade would be tomorrow either way. Patriot Act is after that,"" the aide said.Because McConnell did not file for cloture by Tuesday evening, it was already unlikely the Senate could act on the Patriot Act before the House goes on recess tomorrow, given the drawn-out parliamentary process of the upper chamber. Unless the Senate is willing to stay in town over the weekend and approve the House-passed Freedom Act, it appears increasingly likely that we are headed for a full expiration of the law's three surveillance authorities, which sunset on June 1.Paul, while talking to reporters, took a jab at President Obama for not ending the NSA's bulk phone-records program unilaterally. Obama ""needs to step up and be a little more of a leader in getting us out of this mess,"" he said.Noting support from Sens. Mike Lee and Ted Cruz, his presidential rival, Paul said ""We're not exactly [on] the same page but I think we're all opponents of the bulk collection."" Both Lee and Cruz support the USA Freedom Act, while Paul says it does not go far enough.11:49 p.m.: It's over. Thanking his staff, Sen. Rand Paul has relinquished the floor after 10 hours and 30 minutes.Since Paul didn't speak past midnight, the week's schedule appears to remain unchanged. Earlier in the night, an aide to Senate Majority Leader Mitch McConnell said that if Paul talked into Thursday, it would hold up possible consideration of a Patriot Act extension and throw off the Senate's calendar before breaking for recess.11:45 p.m.: We're winding down. After Sen. Ted Cruz's fiery speech, a tired Paul took the podium for a final hurrah. ""My voice is rapidly leaving, and my bedtime has long since past,"" he said, before launching into a summary of what he's been saying for almost 10 and a half hours. ""Bulk collection must end, and I think we have the votes to end it now,"" Paul said.Click here to continue reading the full article: http://www.nationaljournal.com/tech/rand-paul-filibuster-live-blog-20150520"
Rand Paul,R,p,"May 20, 2015","Press Release - Live Updates: Rand Filibusters PATRIOT Act, Will Go As Long As My Legs Can Stand","BreitbartBy Breitbart NewsMay 20, 2015 - Sen. Rand Paul (R-KY), a 2016 Republican presidential candidate, has taken control of the U.S. Senate floor to filibuster the PATRIOT Act over concerns that reauthorizing the national security bill would allow the National Security Agency (NSA) to continue the unlawful bulk collection of Americans' personal records. Breitbart News will bring live updates as this process continues here.UPDTE, 11:58 PM: ""I want to thank the Senate staff; I want to thank the American people for considering the arguments,"" Paul said as he relinquished the floor after conducting an 11-hour filibuster.UPDATE, 11:43 PM: Cruz joined fellow GOP presidential candidate Sen. Rand Paul (R-KY) during the tenth hour of Paul's filibuster against the PATRIOT Act and the bulk collection of metadata by the NSA.Cruz defended the USA Freedom Act, saying it stops the bulk metadata collection by the NSA, but still keeps the right tools in place to stop terrorists.Cruz addressed his Republican colleagues who would prefer to reauthorize the PATRIOT Act in its entirety.""It is abundantly abundantly clear that a clean authorization of the PATRIOT Act ain't passing this body - and it certainly ain't passing the House of Representatives.""Cruz said Paul should be able to propose amendments to the USA Freedom Act, and the Senate should be able to have an open debate.""Debate is what we are supposed to do on the merits,"" Cruz said.UPDATE, 11:39 PM: ""It is abundantly clear that a clean authorization of the Patriot Act ain't passing this body - and it certainly ain't passing the House of Representatives,"" said Cruz.UPDATE, 11:33 PM: Cruz says the USA Freedom Act stops the bulk collection of metadata, but still provides the tools to help prevent and combat terrorist attacks.UPDATE, 11:28 PM: Sen. Ted Cruz (R-TX) joins the filibuster to thank Paul for his defense of liberty. Cruz states that he doesn't agree entirely with Paul on the issue.UPDATE, 11:27 PM: According to CSPAN, 10 senators have come to the Senate floor during the filibuster, including seven Democrats.UPDATE, 11:02 PM: Kelley Paul tweeted her support for her husband during his nine-hour filibuster against the PATRIOT Act.Click here to continue reading the full article: http://www.breitbart.com/big-government/2015/05/20/live-updates-rand-paul-takes-control-of-senate-floor-to-filibuster-patriot-act/"
Rand Paul,R,p,"May 20, 2015",Press Release - Rand Paul Filibusters Patriot Act Renewal,"TIMEBy Ryan Teague BeckwithMay 20, 2015Presidential candidate Rand Paul took to the Senate floor to protest the renewal of the Patriot Act, a Bush administration-era law that enables government surveillance.The Kentucky Republican argued that the programs authorized by the 2001 law improperly constrict Americans' rights and grant overly broad powers to the National Security Agency.""There comes a time in the history of nations when fear and complacency allow power to accumulate and liberty and privacy to suffer,"" he began. ""That time is now, and I will not let the Patriot Act, the most unpatriotic of acts, go unchallenged.""Click here to continue reading the full article: http://time.com/3891074/rand-paul-filibuster-patriot-act/"
