Candidate,Party,Type,Date,Title,Speech
Rick Santorum,R,s,"June 20, 2011",Statement by Senator Santorum on Romney's Refusal to Sign Susan B. Anthony List's Pro-Life Pledge,"New Orleans, LA - Former Senator Rick Santorum (R-PA) issued the following statement in reaction to the announcement by the Susan B. Anthony List (SBA List) regarding Governor Mitt Romney's refusal to sign the Pro-Life Leadership Pledge. ""This past Monday night at the Republican Presidential Debate, I was asked about Governor Romney's pro-life conversion, and I gave him the benefit of the doubt. I apparently spoke too soon. It is incredibly disappointing that Governor Romney chose not to defend those who cannot defend themselves,"" said Senator Santorum.During his time in the Senate, Senator Santorum proudly stood in the forefront of the nation's pro-life battles - from authoring the ban on partial-birth abortions to the ""Born Alive Infant Protection Act,"" and ""Unborn Victims of Violence Act,"" which is more commonly known as ""Laci and Connor's Law."" Senator Santorum also led the fight on the floor of the United States Senate in support of strict constructionist judges against the unwarranted and unprecedented filibusters by the then-Democratic minority.Additional announced candidates who did not take the pledge include Herman Cain and former New Mexico Governor Gary Johnson."
Rick Santorum,R,s,"June 23, 2011",Statement by Senator Santorum on Obama's Afghanistan Address,"Verona, PA - Former Senator Rick Santorum (R-PA) made the following statement in reaction to President Obama's speech regarding the withdrawal of American troops from Afghanistan:""President Obama speaks of winding down our engagement in Afghanistan, but he does not emphasize the need for victory,"" said Senator Santorum. ""Every American wants our brave men and women home safely, but we cannot let those who've given the last full measure die in vain by abandoning the gains we've made thus far. We must be squarely focused on succeeding in Afghanistan rather than on politically motivated troop withdrawals. Sadly, President Obama doesn't seem to share that commitment."""
Rick Santorum,R,s,"July 11, 2011",Statement by Senator Santorum on Debt Limit Negotiations,"Urges Republican Leadership to Hold Firm Verona, PA - Former Senator Rick Santorum (R-PA) made the following statement upon the conclusion of Sunday evening's meeting between President Obama and Congressional Leadership regarding the nation's debt limit.""I urge Speaker Boehner and Minority Leader McConnell to stand fast against attempts by President Obama and Congressional Democrats to use the debt limit vote as a vehicle to raise taxes,"" said Senator Santorum. ""This is a real opportunity for our nation's leaders to come together, cut and cap government spending, and, most importantly, pass a Balanced Budget Amendment to our Constitution so that we never have to raise our nation's debt limit again."""
Rick Santorum,R,s,"July 11, 2011",Statement by Senator Santorum on a Disappointing Jobs Report,"Verona, PA - Former Senator Rick Santorum (R-PA) made the following statement in reaction to this morning's jobs report that found that only 18,000 new jobs were created in the month of June and that unemployment had risen to 9.2%.""This morning's jobs report is one more sign that the current Administration's policies are impeding economic growth in America,"" said Senator Santorum. ""This past week in Iowa, I laid out a very clear vision for creating jobs and growing our economy. I would urge President Obama to go out and talk to the people in America's heartland and hear their concerns, and I would hope that he would see that they are looking for a President who believes in them again and not continued reliance on ineffective, big government bureaucracies. That is exactly what my plan to eliminate the corporate tax burden for U.S. manufacturers, streamline the patent and FDA approval process, and increase incentives for research and development would do. I look forward to having this debate with the President, because it is clear his plan is not working for America."""
Rick Santorum,R,s,"July 11, 2011",Statement by Senator Santorum on the President's Press Briefing,"Verona, PA - Former Senator Rick Santorum (R-PA) made the following statement in reaction to President Obama's press briefing this morning focused on the ongoing debt limit negotiations.""I continue to be deeply concerned about the direction President Obama is taking the negotiations to raise our nation's debt limit,"" said Senator Santorum. ""The president's focus on picking winners and losers through targeted job growth and raising taxes as our economy teeters on the brink is irresponsible. The president and congressional leaders need to make the difficult decisions about spending cuts now, and prioritize passing a Balanced Budget Amendment so that we end the market's concern about our nation's escalating debt problems."""
Rick Santorum,R,s,"July 20, 2011",Statement by Senator Santorum on Dan Savage and His Obscene Attack,"Earlier this morning, I emailed my supporters about last week's episode of ""Real Time with Bill Maher"" on HBO, where he and his guest, hate activist Dan Savage broke into vile attacks against me and other conservatives. The attacks were too disgusting and sexually explicit to repeat here, but I did want to share my interview with Steve Malzberg of WOR in New York City - a responsible radio host who was just as disgusted as I was by the media's treatment of conservatives like us. I can only imagine if this happened to a liberal. Maher and his friends in the Mainstream Media would hit the roof - and rightly so! But when it happens to a conservative, they applaud and laugh. Remember this is not the first time Savage has attacked us on our stance of supporting American values. Savage and his perverted sense of humor is the reason why my children cannot Google their father's name. I took the high road for nearly a decade by not dignifying these mindless attacks, then even defending his 1st Amendment right to spew this filth. And to this day, liberals like Rachel Maddow serve as Savage's lackeys on national television, pushing his smut. Enough is enough, and I'll keep fighting these attacks to ensure that the extreme lest doesn't win."
Rick Santorum,R,s,"August 2, 2011",Statement by Senator Santorum on the Debt Ceiling Agreement,"Des Moines, IA - Former Senator Rick Santorum (R-PA) made the following statement regarding the agreement reached by Congressional Democrats and Republicans and the White House to raise the debt ceiling:""I commend Speaker Boehner, Leader McConnell, and the conservative leadership for moving the ball in the right direction,"" said Senator Santorum. ""Unfortunately, this deal does not go far enough and it is not one that would have been made by a Santorum Administration because it does not accomplish the necessary goal of balancing the budget. It is also disappointing that those members of congress who want to be our president were not leaders in the legislature to advance the conservative cause. As president, I will be committed to passing a Balanced Budget Amendment to once and for all ensure we never again put our nation's fiscal health in jeopardy."""
Rick Santorum,R,s,"August 6, 2011",Statement by Senator Santorum on the Downgrade of U.S. Debt,"Urbandale, IA - Former Senator Rick Santorum (R-PA) made the following statement in response to S&P;'s decision to downgrade U.S. debt from AAA Rating.""If this downgrade holds, then it's another example in a long line of examples of the President's failure of leadership. Is anyone surprised at this point? There are 14 million people out of work and looking to the White House for answers - but they are receiving nothing but a blank stare. The markets are scared and the credit downgrade has happened because the President and this Congress continue to address the symptoms and not the disease. This nation is spending more money than it takes in and the world knows it - now, it's time to show the world that the United States has the fortitude and resolve to pass a Balanced Budget Amendment to stop out of control spending and shrink the scope of government once and for all. The deal the President cut with Congress was supposed to avoid this downgrade but all it did was once again kick the can down the road. President Obama and his Administration have been a failure.I understand the US Treasury is going back to Standard and Poors to say that a two trillion dollar mathematical error by S&P; contributed to the downgrade. So, in addition to blaming President Bush for all of its problems, now the White House is blaming S&P; - but this happened on the President's watch - and he has to deal with it. I guess President Obama is left to cling to the ""hope"" that a mathematical error caused this. Is that the ""hope"" the President was talking about?Folks, an AA rating should be so far in our rear view mirror that no mathematical error should affect it. Tonight, I'm saddened for the millions out of work - but I'm hopeful that I will replace Barack Obama as President and get this country and its economy moving again."""
Rick Santorum,R,s,"August 18, 2011",Statement by Senator Santorum on White House Call for Syrian President Assad's Resignation,"Verona, PA - Former Senator Rick Santorum (R-PA) made the following statement in response to President Obama's call for Syrian President Assad to step down.""Assad's regime has the blood of freedom seeking Syrians on its hands. It is about time that the Obama Administration stepped to the plate and called for the long-awaited resignation of President Assad. Nearly a decade ago I worked to remove the Syrian threat from the doorstep of our ally Israel, and it is shocking that it has taken President Obama this long to realize that Syria is a threat to not just the region, but to its own people,"" concluded Senator Santorum.Senator Santorum was the author of the bipartisan Syria Accountability Act, which was signed into law by President Bush in 2003. This critical piece of legislation to not just American security, but Israeli security, worked to end Syria's presence in Lebanon and end the illegal shipment of military goods to anti-U.S. forces in Iraq."
Rick Santorum,R,s,"August 25, 2011",Statement by Senator Santorum Reacting To Mayor Bloomberg's Decision To Not Include Clergy At 9/11 Memorial,"Verona, PA - Former Senator Rick Santorum (R-PA) made the following statement in reaction to New York Mayor Michael Bloomberg's decision not to offer clergy a role in the 10th anniversary ceremony commemorating the terrorist attacks of 9/11.""James Madison called our nation's vibrant public expression of faith the 'perfect remedy' and if there was ever a day in recent history that our nation needed such a remedy it was September 11th, 2001. It is disconcerting that Mayor Bloomberg decided to exclude clergy from the ceremony commemorating the 10th anniversary of this horrific attack. I urge Mayor Bloomberg to reconsider his unfortunate decision. It is important to allow clergy to attend and take part in the memorial intended to bind the wounds of a still healing nation."""
